"","x"
"11","<U+00A0>I received the phone while I was not home. As soon as I got the chance I opened the box and just by looking at the phone it was severely dented, scratched (not only signs of wear, but actual words scratched on the back of the phone), the front screen was the only thing that seemed to be replaced. The rest of the phone was in such bad shape, it was almost broken. On top of that, the phone when I connected it, didn¡¯t even work. Do not buy, save your money.
            "
"12","I bought a phone last week and it was perfect but I lost it so I bought another but this one dies all the time. Like it just shuts off at 70% I want to exchange it for a WORKING PHONE !
            "
"13","The phone came in a very secure box and a charger but it's not apple, had no problem setting it up to metro pcs. The reason why I have it 4 stars instead of 5 is because it did not have headphones and not an apple charger
            "
"14","Tried to insert SIM card to use phone and it would not connect to the cell network for T-Mobile. Took the phone into 2 different T-Mobile stores and called the T-Mobile customer service line to troubleshoot. When I called the T-Mobile they said the IMEI number was incorrect for the phone, which I thought was just because she had heard it wrong. Then after visiting the second T-Mobile store to look at other phones and troubleshoot my current phone the T-Mobile associate informed me the phone was probably a fake due to the appearance of the phone. Phone stickers said Verizon network when it was received as well with a big black dot sticker trying to cover that up. BEWARE OF FAKE IPHONES BEING SOLD HERE!!!
            "
"15","This phone stopped working for no reason soon after the 90 day warranty expired. It was not dropped or banged.<U+00A0>Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Smartphone, Silver (Certified Refurbished)
            "
"16","Best price compared to any other seller that I would trust. Not a fan of used electronics but considering it¡¯s an older generation I needed, it had to be used. This was a great product! Battery life is never good on an iPhone to begin with so I was impressed that is maintained 85% capacity. I would suggest buying a case immediately because this phone is rounded off on the edges so it is very slippery and very fragile. Over all satisfied with the seller and thankful that it came with a charger.
            "
"17","Not even 6 months after the phone was bought the battery started losing charge rapidly. The phone didn¡¯t come with an original iPhone charger so I borrowed one to charge the phone. It charged super fast (as compared to the hours it took on the other charger) However the battery started swelling, pushed open the screen and started smoking inside of the phone. It burned part of the board and screen and I¡¯m now completely out of a phone
            "
"18","the phone comes in great condition! the only problem is when i went to charge it, it would charge for a short while then stop.I thought it would a problem with the battery but it ended up being the power cable. If anyone else has that problem i suggest you try another power cable! it worked for me and my phone works perfectly now :)
            "
"19","The phone came in 8 hours early and caught me by surprise. I bought the Rose Gold one with 64 gigabytes of space. Don't listen to the negative reviews the phone was new and unlocked just how I wanted it. It came in a small box protected with plastic and came with a charger, but I was kinda sad I didn't get the apple earbuds tho lmao. The battery is somewhat ok but goes out fast so I plan to buy a new one but besides that the phone is fine. I have Cricket as my provider and I put in the sim card and it works with no problems. I've had the phone for almost 2 months now and just waited just in case I had any problems but everything was fine. I would recommend buying it if you want the aux cord which was the only reason why I bought it in the first place (I'll add pictures later just lazy rn lol).Apple iPhone 6, GSM Unlocked, 64GB - Gold (Certified Refurbished)
            "
"20","I was wanting to switch from an android to an iPhone because I have a Mac and an iPad. I bought this refurbished phone from Amazon. knowing I could return it if there were any flaws. The phone arrived in perfect condition. It looks brand new, it works fantastic. I¡¯ve had it for a few weeks. My only complaint is the battery will not make it through the day. And I am not on my phone all the time so that is frustrating.  With my android I would usually have 25% at least by the end of the day before plugged it in for the night.  I have changed several settings on my phone trying to extend the battery life. But I¡¯m not sure that it¡¯s a problem with the battery as it is just a problem in general with iPhone.  It says that my battery health is good and operating at 100%. So I don¡¯t think it¡¯s a faulty battery. I keep it in low power mode all the time and constantly close out apps that are open. Other than that, I love this iPhone. I¡¯ve ended up buying a spare portable battery for $10.
            "
"21","I am really happy with my iPhone, I got a new phone! It¡¯s was a great deal, and I hope to continue making deal with dealfisher.com. I highly recommend it. Thank you dealfisher.com¡¯s team!!!!
            "
"22","Phone doesn¡¯t turn on thought it was a dead battery, but it won¡¯t even charge my daughter was embarrassed at her own birthday party as well as myself when she was so excited to get her iPhone and it didn¡¯t work. Words can¡¯t describe how horrible it felt to see her so disappointed
            "
"23","My phone has gone, just after 2 months of use. The first month was pretty good, the machine was hotter than usual but still good. From the second month, the bad thing happened to the battery and the power, the touch was not good and the screen was open. After buying a week, I left the US for a long vacation and could not do more than see my phone dying. Actually, In fact can not live even 60 days.I thought the battery was problematic. After returning to the US, I went to Apple Store yesterday and they checked it. The technician told me that it was not the battery problem, the battery was still working fine, but hardware have a big deal, the cost to fix it $299 + Tax (Equivalent to the amount I bought this phone!). Now it's just like a paperweight, no more.The first time I bought a refurbished phone is also the last one. Thank you!
            "
"24","Phone does not work!!!!! As soon as the phone was set up it has all types of glitches. Phone is totally unresponsive and un unusable, attempting to use the screen and it just spazzes out on its own, opens up apps, letters are typed, people are called...all on its own. Trying to contact company and it's saying up to 2 business days for a response!! Awful.
            "
"25","I received this product on October 13 and I paid for express shipping because I needed the item immediately. When I received the item the screen was cracked horribly but I really needed the phone so I overlooked it and thought I could just go get the screen replaced in the future. I then put in my sim card and the phone wouldn't accept the sim card it kept saying no service and that the carrier settings had to be updated I attempted to update the settings multiple times and it wouldn't. I then had to go buy a whole new sim card and that one didn't work either. Then after a few days the sound and vibrate on the phone stopped working. The battery on the phone never was good it would die at random times and quickly it then stopped charging. Which was when I finally decided to turn the phone in. I had the worst expirience with this phone and I will never buy from this company.
            "
"26","I bought the iPhone 6 refurbished from the vendor DealFisher on Amazon in December, 2017.  The phone worked pretty good, sometimes the sound on phone calls wasn't great.  My family member who used the phone started noticing a white residue on the edges of the screen of the phone, but never paid much mind to it.  DealFisher, the vendor, offered a 90 day warranty period.  So about 110 days after I purchased the phone, the phone started losing the wireless signal.  The phone could not make or receive phone calls.  This problem was intermittent.  It would work a few hours, then it would return to ""searching"" status.  I worked with Apple telephone support, they did all they could over the phone but the problem still persisted.  I brought the phone to shop for repairs, and when the technician opened the phone, we all saw that THE INSIDE OF THE PHONE WAS CORRODED WITH OFF-WHITE PAINT!!!!  I am quite certain that no one in my family who handled the phone dropped it in a can of paint! While in my possession the phone was protected in an Otter Box and the Otter Box has not one trace of paint.  This damage existed prior to my purchasing the phone.  I contacted the vendor, who told me that my warranted had expired.  That was it, no offer to speak with anyone.
            "
"27","Buying this phone was an interesting experience! Bottom line is, phone was in good condition but with original battery aka shot. Got a discount on purchase from Amazon because of it. Went to Apple store to purchase new battery (special for $29 on that phone til December). They made the switch and... phone never turned back on! Apple considered it their fault so phone was replaced for free with same model (new). Got a new phone in the end for a very good price... just wasn¡¯t the one sold here.
            "
"28","The phone was not appropriate.  It took several tries and many hours to get it to a full change with it then loosing that finally established charge almost instantly.  I dare say that I could have just replaced the battery.  However, in checking with AT&T I was able to get a new, comparable phone for $50 more than this used one.  So..... I am returning this phone rather than spending more money and then hoping it would work properly.
            "
"29","I purchased the ""certified"" refurbished iPhone 6 from this seller on June 29th which continued to have random touch screen and battery heating issues, but only intermittently which  I ignored for a while. Now it went completely bad, touch screen wouldn't work and depletes the battery.When a phone repair shop opened it, found a clearly visible previous water damage and some rust inside.. It wasn't worth getting it repaired, just got another phone since can't return it after almost 4.5 months.
            "
"30","Phone arrived in time. It looks like new, only 2 tiny scratches on the back that were no problem to me. It came dead and i connected it to the generic charger that came with it, took too long to charge and when i took it to my carrier that is metro pcs, they couldn't activated cause it was locked. Im very dissapointed since it says in the description that its gsm unlocked and it clearly isn't. Im sending it back
            "
"31","First of all the screen started to change colour slowly. When I contacted them on multiple occasions they never responded back. It has now been over a week and nothing! I am very unhappy! Do not use these people!
            "
"32","BEWARE. They claim it is unlocked but it may not be! The phone I purchased was supposedly a factory refurbished unlocked iPhone 6 but in reality it was locked and would not accept a new SIM card. Huge waste of time and money. Dishonest advertising.
            "
"33","Ok, so where do I start!? I got a phone and it messed up so I sent it right back! NO PROBLEMS Customer service was absolutely amazing. But now this phone is worse than the last phone so I am contacting them and I am going to send it back either they can refund me my money or they can send me a new phone.  I will definitely update this review as we go. One thing is for sure their customer service is outstanding hopefully that don¡¯t change when I go back complaining about this one also. I will even send them videos and pictures of what it is doing ...
            "
"34","What I Like most: it's not an Android (which was awful!). It's the whole reason I got an IPhone after putting up with the Android (Motorola, purchased new) for several years. Still getting used to the differences. Seems to operate much more smoothly, with less hiccups. Battery life is much better, lasting now almost a week without recharge and still at 46%. You wouldn't know it's a refurbished device. My Android's battery was garbage from the get-go (would sometimes plummet from 70% to 10% in 10 minutes while the device was sitting idle) and Motorola refused to help, even during the warranty period. App organization on the IPhone seems to be more intuitive and easier to navigate. Also, I don't get 2, 3 or even 4 copies of the same text message (AT&T). The only thing I miss about my prior phone is the IPhone doesn't appear to have the little flashing light on the frame which tells you that something new has happened (missed call, text message), a scheduled event needs attention, etc. I value this because when I'm at home my mobile is unattended.
            "
"35","Hola!Estoy usando el telefono hace tres dias y empezo a funcionar mal la bateria. Me gustaria que me ayuden a poder solucionarlo ya que esperaba que el celular funcione correctamente. Les comento cual es el problema.El celular parece tener bateria al 80 % y a los dos minutos tiene 10% y luego se apaga. Luego lo cargo y rapidamente recupera la bateria y mas tarde se apaga abruptamente.Pueden ayudarme a resolver este asunto? De no ser asi, puedo recurperar mi dinero y devolver el equipo?graciassaludos
            "
"36","Bought new and a week later it was having problems finding a signal.  I went on the Apple forums to find a solution, and I found a temporary one.  Now 2 weeks later I'm having the signal search issue again and using the temporary fix.  But I don't want to keep using the temporary fix because who knows what else I am doing to the phone.  I will probably return it and get a 6S.
            "
"37","I purchased a certified refurbished iPhone 6 for a Christmas present.  When it arrived, I had the data from my father's old iPhone transferred to the new phone (which takes time), got his apps set up, etc.  The phone was dying on a full charge within 30 minutes.  I contacted Apple Care to see if they could diagnose the problem.  They ran diagnostics and said that the phone needed a new battery.  This was supposed to come with a new battery among other things to make the phone ""certified refurbished"".  I contacted the company and asked them to either pay for a new battery by refunding me the cost of the battery or to send me a new phone (charge me for it) and then I would send the faulty one back so that he wouldn't be without a phone.  They did not accept either solution and told me just to send the phone back.  They would not work with me.  I contacted them again and never heard back.  Do not give your business to this company.  You will get a phone that looks good on the outside, but faulty on the inside.  Save your money.
            "
"38","When the phone arrived the language hadn't been reset from french so navigating through the phone to get that reset was a pain. After I had managed to reset he phone I gave it to my grandmother. Several days later she contacted me saying that during phone calls she wan't able to hear the person on the other end of the line. My first thought was that she had something switched off but to my surprise the phone had a software issue. The microphone on the phone worked in videos and voice memos but when it came to phone calls no sound was picked up. I updated the OS, flipped through all the setting, and even tried factory resetting it again but nothing worked.The return was pretty easy and painless though, it was probably just a fluke.
            "
"39","Extremely pleased with this purchase, at first I thought it was too good to be true but I made the Order and it was here in a matter of days and works very well no problems yet
            "
"40","Do not buy these phones, they are locked on Japan networks although it's advertised otherwise. When my phone updated, the Tmobile sim card was no longer recognized. I went to the apple store to try to fix but sadly they couldn't do anything. They also let me know multiple customers have come in about the same issues and all were Amazon purchases. You might luck out with an American phone but if you buy these, make sure the FIRST thing you do is check. Easiest way, put it on silent and see if the camera still makes a sound when taking a photo. It's a law in Japan the camera sound can't be turned off.
            "
"41","This phone is in excellent condition and works perfectly.  The only issue was some minor scuffs on the sides of the phone.  I wouldn't have thought much about it, if the phone hadn't been listed as like new.  Other than that it's perfect.  This phone can definitely be found for cheaper, but I felt confident buying this with the 3 month warranty.  It being certified by Amazon also gave me some peace of mind
            "
"42","I thought  I was getting a good deal, but it seems like you get what you pay for. As soon as I transferred my data from my old phone, this one started to glitch and the finger print didn't work and it was slow to respond and it would freeze randomly. How could that happen, especially if I went from a 32GB phone to a 64GB? Unimpressed
            "
"43","First of all the phone was a gift, upon activating the phone I noticed there was a delay with the screen sensor which I figured would get better but only got worse as time progressed. Now in order to get the sensor pad to work I have to use the side screen button to turn off screen and go back to try again. When I receive a call most of the time I cannot answer it because the sensor will not work so I have to hit the side button to cancel the call and call back after waiting for the screen to work. The phone never had water damage nor have I dropped it since receiving it. I did all the normal troubleshooting of hard-resetting and setting back to factory settings but the main issue is that it had this malfunction since day one! This company will not answer your calls or return emails either.
            "
"44","I received this phone ¡°refurbished¡± and turns out my speaker does not function. I had to have my calls on speaker phone for anyone to hear me. I am highly disappointed in spending that money on a useless phone.
            "
"45","I got this for my 11 year old daughter I figured what the heck if it¡¯s slower or has low battery like no big deal as she only needs it for calls or texts from me.Literally had the phone for 2 weeks and it completely broke. Turning on and off Flashes the Apple logo like it¡¯s going to turn on but never does. Says it has a 90 day warranty. Great. But their number to inquire about that is never answeredLike is this a joke??DO NOT BUY THIS EVEN FOR A CHILD
            "
"46","Phone worked great for 3 months.  Then touch screen started acting up and is no longer usable.  I was very careful with phone and placed in Life Proof case immediately and never dropped.  Just a crappy phone.
            "
"47","Cosmetically the phone is in nice condition. No issues there. Everything seems to work fine on it as well. The problem was the battery was dead and not chargeable. I plugged it in for 4 hours and never charged. I took it to apple and got the battery replaced. Works great now but a battery is $49.  So when buying these refurbished phones, figure to add another $50 on the cost cuz the batteries do die, especially the original ones in the iPhone 6
            "
"48","I bought this phone in August, kept it in a secure case. For some unknown reason the phone totally died. Would not turn on, charge, or show any sign of life. Contacted the seller and after about a month of corresponding back and forth they¡¯ve decided to deny my request for a replacement. They have conveniently decided they didn¡¯t sell me the phone. Only thing is, is that I haven¡¯t bought any other phone from anyone in over 2 years. Don¡¯t buy from this seller, they do not honor their commitment to the buyer. Very disappointed to say the least.
            "
"49","This Apple iPhone 6, GSM Unlocked, 16GB - Space Gray (Renewed) I purchased recently and had to quickly return, was a joke, thou while it was in great condition and even came in box with a charger, the device's battery was very low and was taking to long charge and by mistake I dropped it (the iPhone 6) and it cracked real bad on the far left top corner and that what lead myself to return this item
            "
"50","I ordered the phone as a gift and when I received it seemed fine. As I started to set the phone up and check out apps, I noticed the memory was showing as 75% full, although there were only the standard apps on the phone. When I used the GPS to make sure it was calibrated, it would give the proper turn directions but the map was incorrect and showed a different area of the country. After, I noticed that the apps were jumping from one app to the other without any interference.It became frustrating and I decided to return. More than likely this phone was water damaged and the vendor tried to fix it up could not. Should not be considered refurbished but rather damaged.
            "
"51","The phone looked beautiful when it came. It already had a screen protector on and was scratchless. I quickly found, however, that using wifi, data, or calls reduced the battery by 1% or more per minute. Thinking that was excessive, I installed a battery health application on the phone. The battery design capacity is at 50% (which means 50% of its capacity relative to when it was new) and the wear level is at 49% (""Very High""). According to Apple technical specifications, batteries should be replaced when they're under 80% capacity, which means that for all intents and purposes, it's a dud battery. The screen also displays early symptoms of the dreaded iphone 6 ""touch disease"": the screen often becomes unresponsive to direction. It's hard to complete more than a single text sentence without the screen becoming unresponsive. Overall, the iphone 6 was buggy to begin with, but the factory refurbishing process should have caught the battery problem at the least, and the touch screen problem if done scrupulously.
            "
"52","I ordered the refurbished iPhone 6 originally, and within 2 weeks it had completely stopped working - not charging or turning on. Also the front microphone and camera didn't work. Gave BREED the benefit of the doubt, returned it and ordered a second one, only for the exact same thing to happen all over again. Took the phone to the Apple Store and they said cheap knock off parts that break easily had been used to refurbish the phone. Definitely won't be ordering from BREED again! If you're looking at buying this phone - don't bother - spend the little bit extra to buy direct from Apple. They sell refurbished iPhones 7 onwards on their website.
            "
"53","Although the phone was in perfect physical shape, it was a Japanese model (which I was not informed of nor was it posted anywhere) so the ""shutter"" sound when taking a picture was unable to be muted, turned off, or lowered!!! Unbelievable!!!! Even on photo taking apps such as Snapchat the sound still was present AND LOUD!! Had to drive all the way to the nearest Apple Store an hour away just to find out they couldn't do anything about it!! I wasted my own time and money driving around and making sacrifices for this phone to not work as advertised. Do not buy. Buy somewhere else and make sure it is a US model. Having the shutter sound go off may not be a deal breaker but trying to take pictures or videos in silence or public just isn't for me and is disrupting. Furious. Will be buying somewhere else as I have gone back to my old phone which luckily, I still had. Time and money wasted as well as patience and trust
            "
"54","This is probably the worst refurbished phone I¡¯ve ever bought. I was so disappointed. First, the phone that came wasn¡¯t space gray, it was gold. After about a month, the phone started dying on 50 %, a week later, dies on 90%, now the phone can be on 100% and dies within minutes of it¡¯s not plugged up. I went to a repair shop and they told me that the phone had previous water damage and the battery works fine but because of the water damage the phone had before it was refurbished, circuits are causing the battery to run dead. So now I have a bulky battery case on the phone until I Can buy a new one. Also my Touch ID won¡¯t work, and my flashlight doesn¡¯t work. I¡¯ll never buy a used phone again.
            "
"55","Phone failed after 1 year and 2 weeks. Heated up like crazy and then black screen - Just past the 1 year warranty, of course.Apple won't repair it because it contains aftermarket fake parts. So much for ""certified"" refurbished. Certified by whom?Avoid if you can.
            "
"56","Product arrived defective and glitchy. Can't charge the phone because of some crap that appears to have been stuck in the slot to charge and I guess I didn't read the info correct because it's a Verizon version and im T-MOBILE sending back for my refund!
            "
"57","I regret purchasing this phone, in the first place, when I unpacked it it was complete frozen, my husband had to reset it an upgrade the iOS. Then when the phone finally turned on after 2 days trying, we discovered it was blocked by AT&T (I need it to use overseas) although it is advertised as GSM Unblocked (thank God AT&T unblocked it remotely after one day). I complain about this but I had no answer from vendor.And finally, the battery is charging to only 80% of its capacity so I must charge it every single day with the cheap charger they included.A complete waste of money, do not buy it.
            "
"58","I purchased this phone for my son's birthday. I put it a away for a while. First of all, the phone wasn't unlocked as promised. I got that all straightened out which took a few phone calls and emails on my part just to get it unlocked... which shouldn't have been on me since it was listed as unlocked! Then, once we tried to use it,  after like a month it would only work if plugged in and now it won't turn on at all after only 4 months. Took it to the Apple store and they tried two batteries, nothing would work. I tried to get a refund from this seller but they didn't ask for more details just declined due to being past the return date. Very disappointed and out $260...
            "
"59","Never buy a new phone again. The iPhone came on time and looks brand new on the front and back with little scratches on the left near the volume buttons, but idgaf I still recommend. The camera is crystal clear too. Fmoig @famouscapI bought the space grey iPhone if wanted to know.
            "
"60","After about a month the touchscreen started to act up. After two, I started having to hard-reset several times a day, due to touchscreen not responding, or the phone going nuts and opening apps, closing them, calling people, etc, like someone was tapping all over the phone super fast. I¡¯m 4 months in, and am finally at the point, even as much as I hate shopping and spending money, I am done with this phone. I will NEVER buy refurbished again.
            "
"61","Reading these other reviews I was a bit hesitant to buy, but in the end I'm very happy with my purchase. It works with my carrier and is in perfect condition. Its an actual Iphone and I have a 90 day warranty so if anything goes wrong with the phone I am covered. It runs smoothly and I haven't had any issued with the product in any way shape or form. It's a great purchase and you get what you pay for.
            "
"62","This is the worst experience I have had with amazon so far. When I received the product it looked great! I turned it on and I went through the setup and it was great!... for a week. After a week the phone just shut off and we even took it to the Apple store and even they can¡¯t fix it. Please don¡¯t buy this!
            "
"63","Hey, I received the iPhone, but it¡¯s not taking charge.As I see in 2 hours it¡¯s only 1% charge.It¡¯s really bad , I want to return it back now.Send my money back ASAP.
            "
"64","The phone itself was nice, but slightly bent. My carrier is Straight Talk and I purchased a SIM card for this phone. Service worked for about an hour total and then the phone would read ""searching"" or ""no service"" in the upper left corner. I purchased three new SIM cards. I spent hours trying to resolve this issue with Straight Talk customer service and they were as helpful as could be but at the end of the day, it was a problem with the phone not reading the SIM card. The SIM card jack looked slightly bent, this may have been the contributing factor. Either way, I would warn to not buy this if you use straight talk. I went to Walmart and bought an iphone that was already set up through straight talk and it has been working fine.
            "
"65","Packaged extremely well and everything looks/works as new
            "
"66","We bought two of these phones in a short timeframe and had an excellent seller and a horrible one. Watch which seller you are getting the product from - VIP Outlet provided a quality product that has worked from Day 1. BREED .... not so much. My daughter's phone battery needs service just 5 months after purchase. I contacted Breed for assistance, because the description states the refurb phone comes with a 1 year limited warranty. Breed says they only provide 30 days of warranty after purchase and won't give me a straight answer about anything beyond that. They are answering the question because Amazon requires it, but they aren't actually providing any useful information.This is a great deal on a great phone, but you are on your own for service.
            "
"67","This phone was great until it was unable to accept updates. I tried all methods given. Then once it wouldn't update, less than 6 months after getting it, it started acting weird. The screen will come on and go off, like a slow flash continuously at random times. There's ghost touch on the screen or totally unrepsonsive. It also refused to connect to Wi-Fi sometimes. And the worst is having battery life and the phone,at random, powers off on its own. There's no warranty on it even though it's certified refurbished. This was a good phone for a short while. But not worth the money.
            "
"68","I was happy to receive a brand new iPhone looking very much like it should when new.. I plugged in the charger and saw a red 'hourglass' icon saying that the battery needed to be charged. I charged it for 24 hours (checking on it every few hours). The battery never charged and now i just finished printing the return labels so that I can ship it back and hopefully receive a refund with no hassle.
            "
"69","First off, be careful what seller you purchase from.  I first ordered from Kanga and they were terrible on every level.  The volume didn't work properly, the battery was trash, and they delivered later than was promised.  I returned that phone and ordered another from DealFisher.  The phone is fine but the battery is equally as trashy as the previous phone.  I'm so disappointed but I've given up finding a decent battery.  I'll just pay another $80 and get a new one.
            "
"70","Phone would not take charge or even turn on. Shell was dented and scratched. Screen was not flush and slightly popping out and didn¡¯t look like an genuine apple part. The phone came with a card that said if your phone is broken or does not work please call this number. I called it an it went straight to voicemail multiple times and no one called back. The charger that came with it is not a apple charger. When you look at the positive reviews they all look like fake reviews.
            "
"71","Phone was junk. Stuff didn't work
            "
"72","The phone didn't work. Wouldn't even start up or charge. I tried 3 different chargers including the one that was sent to me. Still did not work so I took it to an Apple store because I didn't want to give up on the phone that easily and they confirmed that the phone does not work. They couldn't even turn the device on. Such an inconvenience because I really needed the phone hence why I did 2 day shipping.
            "
"73","I ordered it without looking at the reviews, so when I happen to check them later I almost lost it. The phone looks perfectly new, it did not come in the retail box however. I will update this review if the phone turns into poop.
            "
"74","I am very upset, i purchased this phone for my niece in Sept. on Dec 8th for her birthday I gave it to her and activated it with a phone chip, now a month and 6 days later for no reason it has stopped working!!! I did not fall, get wet or anything. I has always been in a very protective case.Is there a warranty???
            "
"75","I got it on estimated time, the phone came with not original charger battery and headphones. I am not sure but I believe the Iphone didn't come with its original screen despite I like too much my new Iphone 6.
            "
"76","Not working
            "
"77","I know some of these reviews made me nervous to purchase this phone and some seemed a bit shady, but overall I was very happy with the phone I got. Notice that when you change color, however, the 3rd party organization also changes. I got my phone from MyWit and it arrived quickly and looked new. I¡¯ve had it for almost a month and it¡¯s working perfectly, there was no visible damage or scratches. Would recommend but it¡¯s always a risk buying a second hand phone.
            "
"78","The battery was the first to go out less than a month with the product. Two months after the product the screen started flickering for no apparent reason, and now the power button isn't working. When reaching out to Techarvard the reseller and asking for advice or a refund the response was simply, No. This was the total sum of the advice. It was a risk buying from an unknown reseller, but took the chance and would not make the mistake again even though we were told it was certified and like new, it really isn't.
            "
"79","For the first week, this worked great after that the touch screen is not working. I go to call, the person does not answer I can't end the call. I try to use an app its clicking on the top area when my finger is touching the middle or bottom area. Complete horrid product!The person that passed this as QC really needs to loose their job. I am a single mom and putting out $300.00 is quite an expense, shame on the company or person that sold this phone as a working item.The only good thing about all of this is that I bought it from Amazon so I will get a refund. I have NEVER bought anything from Amazon that did not work. Amazon either don't sell refub products or place stronger restrictions on the vendors that sell.
            "
"80","I got the phone yesterday it came in a white box with bubble wrap with the phone inside it, but one thing is that they left it on my porch but luckily someone was there to intercept it for me. now when I opened it there was no headphones but charger cord and the box that you plug into the outlet with. now it worked well but on the outside around the camera there was little dark scratched I couldn't get them off so they were just imprinted on the phone also today i noticed there was a little dent by the power button but it still works perfectly, if you thinking about getting this phone get a case and a screen protector but other than that good phone.
            "
"81","Received phone and was hoping to gift it. However, after a few testing, I realized that it takes 30 minutes to 90 minutes simply for the phone to establish connection with the cell tower.I have tried resetting network settings many times without remedy. I don't care about the unit being defective since Amazon has a good return policy. I do however care that  the item is labelled with ""refurbished"" condition despite its defective behavior. Hope it was not something deceptive.
            "
"82","This item arrived fast, in excellent condition, worked right out of the box, and came with a Lightning-USB cable, a generic USB wall wart, and an acceptable plastic case and screen protector.
            "
"83","So at first the phone was great but as time went on I noticed the battery life was so bad!!!! I can charge my phone all night and I¡¯m like an hour only have like 30 percent and then I turn it off and back on I all of the sudden have 60 percent! Then at like 20 percent sometimes it will just die and not turn back on but as soon as I put it on the charger is has 40 percent when it turn back on! I would buy the battery life is bad!!
            "
"84","Purchased two iPhone 6 phones, and read the reviews about how awful this company is. What a load of hogwash. Both phones were fully functional, clean, refurbished, and running fine. Bought one from them before. A small glitch had me send the phone back and they sent an almost new one. Most of the complaints are for the non-Apple chargers and cord, or the plain box it comes in, or their own inability to use the phone. I'll bet if you, informed Apple user, know how to use an iPhone without tech support having to do things for you, and you understand a return for service warranty and it doesn't include repairs for your part in damaging a phone, then you'll love this place for a great refurbished phone for less than what others will have to pay. My kids are thrilled, and won't put them down...
            "
"85","We just received this refurbished item yesterday. While I know a refurbished phone is not brand new, it should work, and the screen does not work.  It freezes, and the touch aspect of the screen does not work.
            "
"86","This IPhone is not working!! The battery runs off too quicky: I got it as a present for my step parents and they tell me that the battery doesn,t even last half a day. Please contact me to see what can we do about it. Thank you
            "
"87","It took hours to get the phone up to full charge as soon as I got it. Then it continued to drop down to very low charge (4%) and it would pop back up to a higher charge in a matter of minutes. It kept shutting off due to low battery. The battery is completely junk. I cannot understand how this phone ever passed any inspection.
            "
