"","x"
"17","It's a VERY NICE PHONE!!, unfortunately the one I bough after 15-20 days developed a camera failure: ""Warning Camera Fail"". And here is the second problem... WARRANTY IS ONLY VALID IN THE U.S.!!!, Samsung it's not like Apple, Samsung warranty is local on phones so forget it you think Samsung will accept your warranty elsewhere. I went to Samsung Colombia and their preliminary analysis is that they are not sure if the problem is with the camera (70% probability) or the board.  At this time I have not yet decided if sending  the phone to US for warranty or take it to Samsung Colombia at my own expense. If the hardware problem is with the camera, the replacement will cost me like US$100-150.  Because I saved US$350  buying the phone in US,  it still makes a good deal and the camera replacement will give me a year of warranty on phone's camera in Colombia.Beware because this ""Warning Camera Fail"" error its a very commune HARDWARE issue on the S8/S8+ models. I have bough several Samsung phones, they are excellent and will buy Samsung again... I just wasn't lucky with this one.The phone works perfectly well in Colombia (GSM-LTE 4G), it gets the updates on time. I have not taken it to other countries yet.
            "
"18","Update... 6 months later and I'm still loving this phone, no problems at all!!Arrived quickly, great price, and very easy to set up. Wow what a camera, the pictures are amazing! I am in the southeast US and have Cricket wireless, no problems at all. I've only had it for a day but I've always had Galaxy's and never ever had any trouble with them. I hope I'm as happy with it in 6 months as I am right now.Update....I was hesitant but couldn't pass up the price, it doesn't come with a warranty but I've never had any trouble with my past galaxy's so I went for it. I absolutely love this phone, I've had it for a couple of months now and zero problems. I was a little worried because I couldn't find a case and screen protector that worked well together and also looked good, the curved screen is very tricky. I decided to get a case but not use a screen protector, I haven't had to drop test it yet bet the screen is gorilla glass and resists scratches very well, I dont have a single one yet. Love this phone so much that my husband bought the S8 as well.
            "
"19","I ended up going to the hospital and was unable to make the return date of February 3rd.  I have had nothing but PROBLEMS with this phone.  UNLOCKED is  joke!  Voice problems. Problems not properly connecting to my carrier. Glitches in the speaker system etc.  The phone diverts back to a ""prepaid"" credit card phone status and cannot make outgoing or incoming calls.  I've tried different sim cards and hours worth of TECH support to get this phone working.  EXTREMELY DISAPPOINTED.  Will try to work with Amazon a little bit more to resolve the issue.
            "
"20","I was sold a Galaxy s8+ that was for AT&T and not unlocked. I was on Chat with Verizon tech support for over three hours trying to add my current account to the phone and we found out it isn't unlocked. So, I had to purchase a code in order to unlock it and I won't get the code for two-four days. Very unhappy. Shouldn't advertise that a phone is unlocked if it actually isn't. The phone is compatible with Verizon but it is just the fact I have to go through this after spending about $450. Other than that the phone is nice and does work great.
            "
"21","This Samsung device receives 9.5 from me.  I have had an issue with almost every apple iPhone, mostly because of their weak cell receptions.  I was always frustrated with call quality and apps crashing.  Also with the last IPhone 6S I had owned the battery would always drain once down to around 25%.  This S8+ does not have any of those problems and is phenomenal in performance.  There is no slowdown switching from apps, video and call quality are top notch.  Color calibration to app resolution, video games to Microsoft apps, whatever you throw at it, it does without difficulty.  Call quality, audio and cell reception quite excellent.  I have T Mobile service and was worrying that the speed would drop from LTE down to 4G or 3.  Not once does it drop from LTE speeds.  I know many people complain about the 16:9 ratio.  This doesn't bother me.  If you want to use pictures for desktop, just adjust the ratio in Camera app.  Almost every app is now fitted for the screen ratio and when streaming videos, you can double tap the screen to zoom to fit.  This feature makes the video streaming very very enjoyable.  The only complain I have is with the AKG ear phones the phone comes with.  Ear buds do not have a good bass.  I ended up using the Samsung ear buds instead.  Factory Unlocked version is definitely worth the price because there are no Carrier bloatware on it.  Yes!  No more Bloatware.
            "
"22","I bought 2 of these and so far they're working great. I had to give a 4 rating because they took about 3 weeks to reach me. Not sure what happened with the shipping. I also had trouble getting 1 of them to set up. It came up as T-Mobile and refused to recognize my Verizon card. It took me hours to get it to work. I had to factory reset and keep restarting the phone over and over before it recognized it as a Verizon card. As far as the phones go they came factory packaged and appeared to be brand new. No complaints there! Make sure to check with your carrier before buying and see if they use GSM or CDMA. Buy the wrong phone and it will not work!
            "
"23","I have had this phone for several months now.This phone has great specs and does not fail in that regard. It also contains many of the features expected of flagship phones such as waterproofing and wireless charging.With that said, I had 3 concerns when initially purchasing this phone after coming from a Nexus 6P.1. Phone updates, including upgrades to new versions of Android.2. Non-stock experience, including many Samsung apps already installed.3. Single bottom firing speaker.With that said, the first issue is still a concern. Updates are slow, especially considering that my previous phone is already on the latest version of Android. This is a huge disappointment and will likely prevent me from purchasing another Samsung phone again.The second issue has been less of a concern for me. Many of the Samsung apps add additional functionality that is not found in stock Android. They are very usable and are worth giving a try.The third issue is still and issue, but some people have been able to enable stereo functionality, but will require rooting the phone. The speaker is loud, but stereo audio sounds much better.
            "
"24","I recieved the phone and was all excited until i found out it is not truly unlocked. Does not work for any CDMA provider.
            "
"25","Did not read the customer questions unfortunately... I trusted the product description and saw the model number. I thought this was the G9550 and they just forgot the 0 or something. The product description does not match the item I received. It says snap dragon and that fit with what I thought it was. Instead i got the G955FD which does not have the listed processors. Too many damn models for international versions. It doesn't help either that my phone provider does not support the model I got. Please update your model number to include the actual model....or models you send out so people can know in advance without looking at customer questions. Also change your product description if it's not the actual product description...The good news is Amazon support is the best support out there and have helped me and said they would get me a full refund.
            "
"26","It is a nice phone and works well. I have been using it for about 4 months and have not had any problems with how fast the phone operates or any software glitches that are game breaking. However, I do not use the bixby button and it is annoying since my old phone's unlock button is now where that button is located. Also, when utilizing the phone and accidentally touching the curved edges you get little popups in the corners that are also really annoying. And lastly the curved edges make it extremely hard to protect the phone's screen. This is due to not having a phone case that protects those edges of the phone. I much prefer a flat screen. I did not think this would be a huge deal breaker when I purchased the phone but after dropping it twice, with a case on it, I have received two cracks in the screen. One crack for each drop. I will probably end up replacing the screen and trying to make due with the issue, but I am not happy with samsung over this phone and looking a bit harder in the future at other phone manufacturers.
            "
"27","the S8 Plus is very nice.  The screen is great and the phone is fast, responsive and well designed.  a decent wired headset and fast charger is included.  i am getting good battery life.  my only complaint is the apps that come with the phone and can¡¯t be uninstalled.  this is especially true of the bixby app which i don¡¯t use.  it has a dedicated button which i disabled.  the voice dictation doesn¡¯t work as well as the Google dictation.  fortunately it can be changed to use Google by default.
            "
"28","They did not send the purchased model, the model received is a single SIM card. An Italian model, It is very annoying, since for me it is indispensable to use two cell lines. (2 Sim Card's)
            "
"29","I was skeptic about buying this because I wasn't sure it would work with my phone plan (Ihave boost mobile). Plus the phone was used and I was worried about what condition it would actually be in once I've gotten it. Once I received the phone it looked brand new not 1 scratch on it. Boost couldn't activate it though so I became a little discouraged. The girl that worked at boost told me I could go to sprint and they would help me for a fee. I went to sprint to get the sims card that boost does not carry on hand. They would have had to order it. So I went to sprint gave them the info on the sim card I needed. They were able to help me and the sims card ended up being free. Setup was easy after that. I just needed to put my info into the phone and less then 5 minutes it was up and running. I love that the phone came with a warranty. I purchased the phone October 2018 and I called samsung to find out how much longer the warranty was good for. They told me August of next year. I do have two cons about my purchase #1 being it doesn't come with a charger and #2 it doesn't come with the fancy headphones that the s8 comes with. Overall I'm please with my purchase.
            "
"30","***Update 12/7/18- 9 months later and it's still awesome. No problem! I highly recommend  this phone and the seller also.Buy it. You will not regret it.02/22/18I am happy I ordered this phone. It came on time and the condition is just excellent. The charger, an earpiece with extra ear buds, an eject pin for the sim card slot came in the box. There was no form of scratch on the phone. It looked pretty new!!! I have been using it for a few days now and it works well. Also, I must say i got my metro pcs SIM to work in it and it was like a 123 set up. The signal is good. Overall, it's a great phone eventhough it maybe be too early to tell. I will give an update in a few months time.
            "
"31","I got tired of being forcibly throttled by iOS.  I had an iPhone 7 and like my iPad Air 2 both seem to be running slower and slower regardless of actions taken to remedy.I decided to go back to Android.This S8+ COULD redeem Android for me as prior Android phones were slow, laggy, and poor performers that proved unreliable.  This phone is fast, works smooth with minimal issue and most importantly, is reliable. Unfortunately some of the little, insignificant things have not been resolved but functionality is much higher than with my iPhone 7.Of course, it is still early on, if I have any issues, I will update my review as usual.
            "
"32","I received my phone extremely fast and I have been using it for about three weeks and no problems functionally. My only gripe is that I thought the international versions we're supposed to have 6gb of ram. I might be confusing it with the 128 GB version of the phone however.I have T mobile here in the states and it works brilliantly. Just plug in the SIM card and go. I also appreciate that it comes with dual SIM capabilities if the need presented itself.Another bonus with buying an unlocked phone if you don't get any of that bloatware from the carrier.All in all you cannot beat this phone for the price!PS: I forgot to mention the charger is European, but it does come with an adapter for US outlets.
            "
"33","I was getting sick and tired of my one day battery life on my old phone.  The Samsung S8+ is rated higher than the S9+ for battery life so I went for it.  It was several hundred dollars less than what Verizon wanted.  I charge it every other day now.  The bad:  Well, not that bad.  My Verizon caller ID no longer worked because this is an unlocked version (kind of generic so to speak) Also my Verizon voicemail (visual voicemail) was not available.  Big deal,I found another.  No issues.  I am using the free app Hiya for caller ID and block.  Awesome.
            "
"34","<U+00A0>DO NOT BUY THIS. I BOUGHT THIS FOR MY MOM , BUT INSTEAD I GOT AN EMPTY BOX WITH FAKE JEWERLY IN IT. THE SELLER NAME IS SAMSUNG ,BUT IT IS NOT. ""DONT BE FOUL""
            "
"35","This article turned out to be terrible. It was a gift for my brother and the moment he dipped it in the water, this phone gets damaged. It is no longer good. The specifications indicate up to 1.5 meters in the water, he did not submerge it more than 30 cm and it is damaged. Bad buy... it looks like to be refurbished.
            "
"36","It works great with T-mobile and AT&T and Cricket, battery can last me whole day or up to 7 or 8 pm.
            "
"37","The Samsung Galaxy S8+ is very powerful, very large screen with excellent picture quality.  From a usability standpoint, there simply isn't many better phones out there.  But the curved screen, while unique, leaves a bit to be desired.  When gripping the phone, it's easy to touch things on the sides.  And when apps are not optimized for the curve, some ""buttons"" may be on the curve and difficult to click on (good example is a X for closing an ad.  Might be right on the curve of the glass).  Also, it's difficult to find a good case and that case may not be able to fully protect the phone.  This is because the case cannot fully cover the sides of the phone due to the curved glass.My next phone will not have curved glass.
            "
"38","Had issues with the product since the very beginning. The biggest ones being distorted sounds during phone calls and not receiving phone calls all. For the first few weeks I blamed my service provider but later I discovered that it was the issue with the device after all. After few months the phone was totally dead. It cannot even boot and is stuck in shut down and restart limbo. I tried to contact Samsung's official tech support but even though they help me to go through basic troubleshooting, they told me that international versions of this product are covered directly by the sellers. I tried to reach out to the seller but the only way to do that was through ""refund"" option. Refund was not my priority, I want the phone to work properly! Even though I explained everything in my message, they refused to help. Avoid to purchase anything from them!
            "
"39","I was sent an international phone and found out there was no warranty. Was refunded my money with no hassle. Other than that this phone is a great phone. It came in the original packaging and seemed brand new But fragile so get a case and tempered glass protector. I will be re-buying because I loved it . hopefully I will be sent the the proper phone this time.
            "
"40","I was supposed to receive the SM-G955UZKAXAA , but received a SM-G955FZKDXSG instead. What I received is not compatible with Verizon.  This is a phone for the middle east, not the US.  Attached is a picture with the phone info showing it is a United Arab Emirates phone.
            "
"41","So. I have this phone for 6 days. 6. Days.While the phone was working it was beautiful, lovely sound, the whole 9. I couldn't be happier.But now the screen green. And flickered. And then a huge of purples and blues! Sounds great, except it's the actual screen. Thank God for 30 day returns. Absolutely appalled by this. Go to a better seller, dont waste your money here
            "
"42","Great, great phone.  If I could change one thing it would be the glass backing.  I removed my case because it degrades the quality of photos greatly.  I walked into a cement pylon while walking around sightseeing and it ended up cracking the back glass just below all the important stuff.  Thankfully it all still works but I wasn't running, just walking, and the compression between my leg and the pylon was enough.  About the only issue I have had with it that is Samsung's ""fault"".
            "
"43","I love the galaxy s8 thats why I decided to buy an s8+ after my old s8 screen cracked, unfortunately I received a busted s8+ from the seller, the usb port only works for charging but won't recognize a usb flash drive and it won't work with smart switch via the usb cable, only via wireless transfer, I noticed some debris inside the rear camera lens and the back feels like its bulging, there is a discoloration in the back where the bulging is, I don't know why this phone had issues when my s8 from tmobile never had issues for 2 years, oh and the box of the phone didnt have a seal like it wasn't brand new, tried to troubleshoot the problem everyway possible, the amazon tech just told me to speak with samsung to figure out what was wrong with the phone, what a waste of time
            "
"44","I had this phone for about 2 weeks, but I ended up returning it. The camera was really great and took quality photos. I also like the overall design and feel the phone felt very premium. But ultimately I didn't enjoy the Samsung skin over Android, and the software felt jittery compared to my previous phone which was the OnePlus 3. Additionally the placement of the fingerprint sensor was very annoying to me as a left handed person who holds their phone and their left hand of majority of the time. It was just too hard to reach and inconvenient to use.
            "
"45","The phone itself works fine with great colors and reasonably fast. Take excellent pictures and videos and all in all would buy it again. My biggest negative is that for some reason within two weeks of having this phone it crashed and unfortunately I had just taken about 60 pictures that day which never made it to the cloud and I lost them all. Very disappointing.
            "
"46","Loving my S8+. Upgraded from Moto G5 Plus. Loving the big edge to edge display. Battery life is amazing. 15% battery on old phone estimated about 1 1/2 hours left. On the S8+, when I got 15% battery reminder I checked in settings and it estimated about 3 1/2 hours worth of battery left. Thought the S8+ might be too big, but now it feels like the perfect size and I'm glad I went for the bigger screen. Fast charging is awesome. Bought myself a wireless charger for the nightstand and I'm loving that feature, as well. Pictures are great. Phone arrived earlier than expected. Great seller. A+
            "
"47","Having one of the best time with this phone. Camera is really really amazing. Specially the pro mode can outdo IPhones camera in a cake walk. I am really proud of choosing this phone over IPhone 7+. It is a really safe bet.
            "
"48","Im not going to get into huge detail here, but I love this phone.The Camera is amazingThe screen is amazingThe fingerprint scanner works better than everyone says it does.I have taken this phone in the shower with me multiple times. 0 problems.it played music underwater (not recommended) with 0 problems.It does take a little getting used to, but the longer I have it, the more I love it.Honestly I can't think of one thing I don't like.except that I wish the bixby button was programmable.And I would recommend the otterbox Defender series case. Ive had it for weeks and it has been incredible.
            "
"49","I just got my phone yesterday, it arrived in two days.  I thing it should have been backed a little as only was shipped from an Amazon warehouse.  The phone came in a box with very little padding.  I have to say I love my new phone, at it was new not refurbished.  I also had no problems registering it on the Samsung website.  I was a little skeptical in purchasing this at first, there are many negative reviews when it comes to buying a cell phone.  I am glad i bought and I am sure you will too.
            "
"50","Couldn't use it. It was advertised as a GSM/CDMA phone and came as a VERIZON phone. It came in a unsecured, over 4 times it's size box. And right down to opening it, after trying to call Vitalli, my personal ISP, numerous FAQ's on AM, looking for over 6 mon, waited a wk for the po and bothering 2 neighbors to help prevent it from being stolen, I end with this monstrosity.  I even called VERIZON.
            "
"51","Phone works great HOWEVER, I realized I cannot do the video calling to another Verizon customer as I did with my Samsung 7 phone.  It's a Verizon feature that these unlocked phones do not have or come with.  I actually loved the fact that you can be on a regular phone call then switch over to a video call.  Will have to use the WhatsApp video call instead.
            "
"52","I purchased a ""like new "" from Amazon with the Earth Day deal.I plugged in the phone and immediately saw the difference in display from my iPhone 7 and lightning fast response with beautiful curved glass.I was willing to forego a few features such as stereo speakers ,slow motion video and emoji characters to save over$300 compared to the S9 plus.After registration of my product with Samsung , 9 months left on the warranty, so phone was most likely a return because someone ordered the wrong product then sent it back.
            "
"53","I love the phone. But what I don't like is the fact that I spent almost $600 on this phone. And I haven't even had it for 6 months when I discovered it had a crack on the back when I had a case on it the whole time and it wasn't dropped. I figured it was okay because it was just the back. Then today I look and I repeat, my phone has not been dropped, and there's a crack that goes from the power button across the screen going over to the bixby button. I have not dropped this phone so my question is what is going on with the screens to where they are just cracking on their own. That's why this device gets a bad review. Never have I ever experienced anything like this. I had an S7 edge for over a year and not one single crack. This phone cracks left and right without even being dropped. I'm livid, I'm infuriated I could scream that's how pissed I am. It's not cool to make something so expensive when u don't get the quality you pay for! It's laggy, and the screen cracks by itself like it isn't made with gorilla glass. This is pitiful and it makes me scared to buy another Samsung device. Buyers beware.
            "
"54","Sad.  Was looking forward to this phone and and opening, there were 2 piercings on the screen.  Guess buying from AT&T is better?Disappointed.  2nd item I have returned from Amazon in the last 5 years.
            "
"55","So, like many of yall I was a little skeptical about buying a phone online. I've never done it before, however.. I have had it since Monday and it came in perfect condition, there was no scratches, no dings and the software runs perfectly. I just slipped my AT&T sim card into it and here we are. Lol, honestly, everything about this phone is so good, the camera quality is great, the battery lasts me ALL day and I constantly scroll through apps. The screen is big and bright so you can see everything you are reading and I love how thin and easy to hold the phone is. I 100% recommend this phone to anyone!!
            "
"56","What a great phone.  So happy that I left Apple.  Everything is great: camera, wireless charging, face or fingerprint sign-in, the built in speakers, the gorgeous screen, the headphone jack (!!!!)... A very smartly made phone, very reliable and quite a tool when you're out in the world - a powerful computer in your pocket.  Even the free earbuds it came with are pretty good.  It's a new world being a non-Apple customer.Once I got a wireless charger for home and a wireless charger for the office, I appreciated this phone even more!
            "
"57","I got this despite their description stating that it is not compatible with Sprint because people state that it did.  After some time at the Sprint store to get my SIM card I managed to get it working with no problems.  Just have to go to what they refer to as ""corporate"" sprint stores to get the SIM card and make a call and follow through.
            "
"58","This is not the unlocked version as advertised. It will only accept a Verizon SIM. Definitely not what I paid for. Will definitely avoid this seller in future.
            "
"59","4.5/5 for this phone. I am an iphone user making the switch to android. So far i really like the phone. Very easy to use. Definitely love the storage on this phone. Screen is very pleasing to the eyes. Only critque is the finger scanner. Too small and awkwardly placed in my opinion.
            "
"60","I bought this phone used. I was skeptical. I went on seller options and found one that was in good condition. I got a description of the exact phone. The seller indicated that the phone had a few scratches on the back but the  overall condition was good. When I got the phone it appeared brand new, no scratches. It functions excellently.  I've been using it since November and feel like I bought it brand new.
            "
"61","I love the phone but i think i got one with a defect, it randomly freezes and turns off
            "
"62","Overall, I am very satisfied with the phone. The camera is quite good but it doesn't handle low-light as well as I had hoped. The screen is definitely scratch resistant (you can scratch at the screen with your keys and it won't leave a mark). The glass (front and back) are NOT impact resistant and you can expect them to crack the first time the phone falls from your hands and hits a hard floor (I was aware of this issue beforehand, so no complaints here).
            "
"63","better then phones from TracFone the unlocked feature lets you use features locked on tracfones such as fm radio for free no data needed. you can update software versions on android and such it allows you to use it on any type of service  you have slot for sim card and for memory card it as all the Samsung galaxy features you could ask for
            "
"64","The phone stopped working on February. I took it to the assistance in Brazil and I was told that they cannot do anything due to my puchase in the US instead of in Brazil. That is fine however, I'd like to understand why to phone has just stopped connecting to internet. The mobile cannot find any connection at all.I'd like tpo know if you can help me get my phone in good shape. I cannot even restoere factory conditions. The phone doesn't recognize my samsung account. It is really crazy. Please help me. Tell me what to do!! Thanks
            "
"65","Got this for my husband as a upgrade cause he had an ON5 for the past 2 years and he loves this new phoneCondition was 100% brand new no scratches no malfunctions whatsoeverThanks wireless place <U+2764><U+FE0F> Got a 5 star from us !!!!
            "
"66","I don't usually leave reviews but this phone is stunning. I bought the phone through a third party seller that offered the phone with a bundle of high quality accessories. All for $40 dollars less than the listed Amazon price. I couldn't be happier with my purchase.A warning though like many other reviewers this phone is very delicate put a good case and screen protector on this phone it definitely is not meant to be naked. The water proof design is a life savior as my previous phones had died to h2o, it's nice to know this phone is safe against most situations.
            "
"67","I ordered this phone (New) on the 1st of January and had it delivered to me via 2 days shipping  on the 4th, it came earlier than expected and I was excited with the delivery in the morning instead of evening. I have tried to check on few things about the phone. The screen is a perfect one, the camera till date is awesome, the battery life is good too, the speaker is also good and the overall body shape is awesome as well. The only issue I'm having is that when I'm on call I hardly hear the caller but if I use speaker mode it's loud ofcause. It might not be a general problem because electronics can be funny sometimes. I was contemplating returning it because of the earpiece issue but since it's something I can manage there no point going through the stress of returning it  just for that. Well, it depends on individual differences. Overall, it's a nice phone to use.
            "
