"","x"
"110","Phone only worked about 20 minutes until it froze up, was unable to do anything at all.  Finally got it to return to home screen, once there I was unable to open anything at all except phone keypad, as soon as I hit send to place the very first call, the phone shut down and would not come back on.
            "
"111","Phone is good, in good condition, runs current aps and has a good camera.
            "
"112","Bought this phone to replace my wife's old S3 so I don't see it much but haven't had any complaints from her yet.  The phone  was in excellent condition and restored to new factory setup.  Simply went to Verizon for a sim card and set the phone up later that evening when she got home.  Would absolutely buy from them again, obviously hoping for the same results.
            "
"113","Phone came in a standard phone box with a 2ft USB charging cord and 120VAC wall adapter. Called Verizon with S/N of phones (bought 2 for the kids) they sent nano sim cards, installed into phones, they work great.
            "
"114","Was it pretty good phone I got it as a secondary phone and it worked great until I broke it LOL. Typical Samsung product works like a top
            "
"115","The phone works however the screen has red blotches embedded in it.  Which is only an issue when I am on light colored pages, but I wished I had never bought it.  The bad thing is I use this phone or no phone.  It took forever to get my items moved from old phone to this one and then I noticed the bad screen, the battery life isn't very good either.
            "
"116","I bought two of these. One last year for myself and one this year for my dad. Mine works great, transition with SIM card was tricky. My dad's came as an S7 for some strange reason.
            "
"117","Got this product yesterday...very sceptical at first...coz it's refurbished but I'm pleasantly surprised...fairly new looking, no cracks, scratches, very impressed with camera. Only thing is takes a lil longer to charger but other than that I'm a happy camper...for now anyway
            "
"118","When I received my phone I couldn't believe what great condition it was in . I thought I received a brand new phone. Great buy.
            "
"119","Great condition; was a little worried about an error message regarding the fingerprints, but after restarting the phone a few times for other reasons, it worked just fine. After a quick call with my carrier to fix the lack of mobile connection, everything worked great! I definitely appreciated the directions for non-Verizon SIM cards, that was very helpful :)Now to see if it continues to act like a 'like new' phone!
            "
"120","Phone got very hot when charging and texting and during phone calls and battery did not stay charged at all had to charge every hour and a half.  The phone looks good but I need one that works.
            "
"121","Phone came and it seems to be very good for being refurbished. The battery isn't great, but I didn't expect it to work like it was 100 percent new. The only issue is I got one with a minor OIS problem with the camera where it makes a rattling noise, but it doesn't affect the quality of the photos. Overall I'm happy with what I got for the price I paid.
            "
"122","It was a terrible purchase and I regret a lot, because I bought it to use in Brazil and I can not change it before April 2018. The cell phone is not working as it should, it is locking, the screen darkens with each incoming call and done and when I try to watch the video on watsapp the screen keeps blinking continuously unable to complete the operation, because it does not give me the option to pause. In addition, I received the product missing the protective cover that was announced that accompanied the cell phone.
            "
"123","So Far I Am In Love With My Phone..
            "
"124","We like the Galaxy 6 very much. Good phone system. Easy to learn to use. Only down side with this particular one, is when she takes pictures(bought for my teenage daughter) there are small purple discoloration marks on every picture. Someone told me that means the camera lens is scratched. Not sure if that s accurate.
            "
"125","Quick delivery.  My son has been using the phone for 6 months and he is very happy with it.  Battery has been holding up well.
            "
"126","The volume on this phone doesn't work and neither does the vibrate function.  I purchased the phone for my dad, who doesn't hear well, so the non-functioning volume is a deal-killer.  Returning and getting another one.  Hoping the new (used) phone works better.Cosmetically, the phone is perfect!  Looks good, no scratches.
            "
"127","Not the sellers fault but this phone will not work with SIM cards from India
            "
"128","The phone was great but they sent me a generic charger and USB cord and every time I plug my phone in it charges slow and tells me to use the proper plug if I want it to charge faster
            "
"129","Like new condition you can tell it doesn't have the oem battery but it's not bad unless you watch videos all day update several months later still good
            "
"130","Seems as good as S7. I should have read more specifics. Didn't know sd card needs adapter like iPhone
            "
"131","Had this phone for a few months now and have had any issues.
            "
"132","Replacement phone for one stolen. Like this phone a lot.
            "
"133","I bought this phone for my stepmom. She loves it.
            "
"134","Phone is solid and functions great.  It is much better than my old S4...  Looks new and performs as new...
            "
"135","Phone seems to function fine.  I liked flip phones but verizon does not allow to activate old style flip phone so money for this or a new flip phone was the same.  I am getting used to smart phone.
            "
"136","The phone came in good condition. However, the battery life SUCKS!!!! I would not recommend this product from this seller.
            "
"137","Functions very well and the battery doesn't heat.
            "
"138","Great phone for the price. The one I received is an unlocked world phone. Received in New condition.
            "
"139","Received just as it was described - very happy with my purchase and will try to shop with you again!
            "
"140","Love my S6 and very happy with my purchase.  Love that they called me to follow up with my purchase!!!
            "
"141","Phone keeps locking up and rebooting.  Had it less than 60 days and I've had to factory reset it twice.  We are no stranger to cell phones but there is something wrong with this one and it is going back for a replacement.  The volume isn't as loud as I would have thought it would be either.
            "
"142","Bought this as a development phone for our work.  It works great and it was almost half price.  Can't beat that!
            "
"143","phone glitches, battery doesn't charge. can't return because return window passed
            "
"144","Minor scratching on the frame and a lot of marks around the charging port. Also some strange glitch were my battery percent will change when I plug it in but it does not cause issues.
            "
"145","This S6 seemed to work fine for all of 6 hours as I backed up my info to it from the cloud. Suddenly it powered down, remained at 0%, no matter how much I tried to charge it and how many chargers I used; the light from the charger would never turn on and the phone recognized it was being charged but it never moved past 0% and never came back to life. Will be returning for refund. Disappointing.
            "
"146","for a refurbished phone I expected it to be acceptable yet not perfect. That being said the battery life went from a fully charged 100% to 50% within a few hours with very minimal next to no use. Item returned
            "
"147","Ok phone just what I expected
            "
"148","Very good upgrade for me, volume is awesome on calls and the camera crisp!
            "
"149","Im happy with my new, well used phone, but it feels new to me. One thing though, is sometimes when I try to slide up to open the lock screen it just seems turns off as if I pressed the power button, to be clear i dont mean power off just turn off. Don't know why that happens, little irritating but it doesn't happen alot and it's a small thing to me.
            "
"150","Phone works fine. Happy with it.  Wish it took a SD card for storage but 32 gb internal has allowed me to do what I want so far.
            "
"151","phone was not compatible with my SIM card
            "
"152","looks nice and new
            "
"153","Had the phone for 2 days and now the screen won't stay on and goes crazy flashing white 210$ down the drain. No physical damage done to the phone
            "
"154","This is one of three that I have bought, great phones, going on two years service, they were all in new shape.
            "
"155","Just buy the 7 and thank me later.
            "
"156","Little disappointed the battery doesn¡¯t last enough even if I don¡¯t use it too much during the day, the stand by battery period is so short
            "
"157","Works great!
            "
"158","Older version, but works super well.  Will keep for as long as I can.
            "
"159","I was very happy with this phone.  It was factory reset so it was easy to set up to my own settings once I got it.  It came in the original box and with a charger.  I am very happy with the seller.  It was delivered promptly and in perfect condition.
            "
"160","I loved this phone. Unfortunately it fell out of my pocket into water like 3 months after I bought it and it stopped working. I had to switch back to my old phone.
            "
"161","I had to replace the battery immediately as it had a very limited life of only about 12 hours with not a high app or phone usage. I also had to deal with a lot of Verizon issues of unwanted apps that would not in any case work here in South Africa. I will not buy an american sourced used phone again, very disappointing.
            "
"162","Received the phone within a few days of ordering and was very pleased to see the phone look as if it was flawless. I mean it looked as if it was new, no scratches or marks any wear on the phone. Did find that the charger it came with was not working correctly, emailed there customer support and without hesitation shipped me a new charger free of charge. Was pleasantly surprised with my order and would highly recommend them in the future.
            "
"163","Really like it. Old farts can learn too
            "
"164","The phone didn't work at all. The software installed on the device was no good. Would stay on for a few seconds then shut right back off. It was my first time purchasing a refurbished phone and i have to say this company ruined it for me. Never again.
            "
"165","Took a minute to learn all the great features
            "
"166","Phone didn't come with a oem charger but an aftermarket 1amp charger. Not even suitable for the phone.  1.5amp is what Samsung requires.  Then the phone is NOT unlocked.  I'm going to Verizon tomorrow and if they don't unlock it I'll be returnimg this and lowering my review stars.
            "
"167","got here on time and looked new it is amazing
            "
"168","good product, just as described
            "
"169","This phone is terrible. I don't know who refurbished it, but they did not do a good job. It constantly glitches, applications quit working, the voice to text just ignores prompts. The worst is the battery- I had a 4 year old Galaxy 5 that had a better battery life. Only reason I bought this was because my phone broke. Overall a bad purchase.
            "
"170","I bought this phone a month ago and it is not working anymore. The screen went black and has a blinking blue light on the corner.
            "
"171","I don't hate it. Just do love that I can do a lot on it. But tbat it is a referencephone and still has problems. I don't recommend this phone unless you want a fast dying phone that makes a terrible sound every time you use it and let's not forget that it over heats easily I have had it for about a month and I am not that satisfied
            "
"172","I love all the features of this phone and it has a great camera!
            "
"173","So far, the reconditioned Samsung is working as expected, just like new.  Very happy with it and all accessories we bought.
            "
"174","Bought for my teenager.... he loves it!
            "
"175","""no visible cosmetic imperfections when held 12 inches away"" is what the description reads.  There are several visible scratches on the screen.  It seems like a good phone so far but I feel that the description wasn't accurate.
            "
"176","Phone arrived in great condition. I can't tell that there's been any previous use. The headphones, and wall charger were still wrapped in plastic, and work perfectly.  The small metal tool to open the chip card slot was included too so I could put my own chip inside. My CDMA chip from RedPocketMobile works great in the phone. I look forward to getting used to a Samsung!
            "
"177","Purchase this phone last week,so far the performance of the product seems and operates as it is supposed to EXCEPT the battery only last 7 hours. Please let me know what to do. I do not wish to hear that I need to purchase a new battery as this product was advertised as RENEWED.
            "
"178","Phone appeared to have no issues at first, however after using it for two hours several issues became apparent-One, there is a crack in the glass next to the camera straight out of the box. It's small and hard to notice at first, but there is raised glass.Two, charging. Within those first two hours after having fully charged the phone it immedietly dropped to 56% charge and over the past two days has taken several hours (upwards of six) to charge more than 15% at a time.Three, constant restarts. In addition to the battery issues they are worsened by the fact the phone has been restarting constantly for the past two days and quickly drains the battery because of the obnoxiously long and bright Verizon screen. Because of the restarting using most if not all apps is all but impossible as anything you're doing can be lost at any time from calls, texts, games, to taking and saving pictures. Certain apps seem to prevent restarts for several hours for unknown reasons (usually games, such as pocket camp) While particular apps are open the phone usually won't randomly restart however this puts severe strain on the battery.Four- Hissing. Upon restarting, either as it is doing so or while rebooting the phone makes a hissing noise for half a second akin to something burning or an electrical static. Best guess is something to do with the battery connection or loose wiring, which I cannot fix without voiding the warranty.Five- Yesterday at work after taking off the charger the phone was stuck off for a total of twenty minutes and refused to turn on no matter what until it randomly reset.I would not of even taken a free phone that had this many issues, never mind paying over 200 dollars for one. I expected a fully working product to replace my old phone that finally broke after 4 years of use- this should have lasted more than four days before being virtually unusable.
            "
"179","Got the phone within 24 hours.  The charger did not work that came with it.  However, I had extras.  The phone was in great shape and had no issues getting it up and running.
            "
"180","Refurbished junk
            "
"181","perfect,,,,,,,,, just like new.......
            "
"182","Says ""Verizon refurbished"" however we didn't even receive a Verizon phone. We received a at&t phone and Verizon said they are unable to put it under our plan.
            "
"183","Great refurbished phone - IF ONLY IT LASTED MORE THAN 4 months.
            "
"184","Very nice; just make sure to clear all background apps to prevent overheating while it's charging.
            "
"185","Bought this for my son. He has had it about 6 minutes, no problems. Looks like new.
            "
"186","Have only had this phone 5 months, and it just stopped working. Screen black and can't get it to turn on even using two different power cords in different outlets. Red light stays on at top. Have sent a note to seller to see what can be done, but this is my only phone and now I'm out of one! Should not have just died after only 5 months.
            "
"187","Bought this phone for my daughter. It stopped working after a few weeks. It would not charge. I tried many different outlets and chargers, but nothing worked. I am in the process of returning it.
            "
"188","I can honestly say that I was a little hesitant in buying a refurbished phone. I got the phone 3 days early and in excellent condition. Battery life is amazing! Much better than my old s6 on At&t. I have had absolutely zero problems with this phone so far. Well kept device.
            "
"189","This is a great phone
            "
"190","Battery crapoed out 1 day after warranty. Would not hold charge for more than 5 hours. Then the speakers started screeching randomly. DO NOT WASTE YOUR MONEY! Ended up going to Verizon.
            "
"191","Phone died 2 weeks after purchase.  Screen went blank at 72% battery and could not take a charge. Never got it to turn back on so I sent it back for a refund. Return process was as expected.
            "
"192","Worked ok for about a month, then it stopped charging and wouldnt turn on. On the upside Product support was AMAZING and the return was simple. I did not get a full refund but I had cracked the screen but still felt my returned amount was fair.
            "
"193","Awesome phone and awesome service from seller.  Phone is in A1 condition.  Says refurbished but would swear its a brand new phone.  Love love love it.
            "
"194","Awesome phone, loses a star because there is no external memory slot.
            "
"195","I love my new phone! I was iffy about buying it from Amazon but I'm really shocked how week the phone works.  No scratches no lagging no nothing.  It was easy to transfer.... I'm with straight talk wireless and it's ready to switch over
            "
"196","Quality refurbish job phone operating like new.
            "
"197","phone kept freezing and ultimately stopped working altogether.  as a result, I was forced to purchase a new phone outright and wasted $172 on this phone which is now a brick.
            "
"198","Defective battery. Goes from 100% charge to 0% in less than an hour!!!!
            "
"199","works well  delivered in a timely manor
            "
"200","Good phone
            "
"201","Absolutely no problems with the Samsung S6 I ordered. I would definitely order from them again.
            "
"202","This phone barely worked. It would constantly just shut off and eventually just stopped working completely. Honestly a waste of time and money.
            "
"203","LOVE THE PHONE.  JUST  LIKE  NEW.  PRICE WAS GREAT AND I  GOT IT IN  JUST A FEW  DAYS  THANK  YOU
            "
"204","Works perfect, Very Happy with it., Thank you
            "
"205","My phone is just over a year old... has been maintained and abruptly stopped.  Took it to the Verizon store and they said there was nothing they could do for me.  For the money spent I am extremely disappointed. A dissatisfied customer
            "
"206","After 4 months the phone wouldn't hold a charge and the company was unable to help.
            "
"207","Phone just suddenly and completely died on day 112 after purchase.This was 22 days after after 90 day warranty expired.The ad says ""minimum 90 day"" warranty but I not able to return.Phone is now a brick.  Will not turn on.  My local repair shop said motherboard was fried??
            "
"208","The phone is pretty cool but very buggy and very annoying. It was working well for a bit before it kept randomly restarting and even after a factory reset it still does it and I'm not sure what's wrong with it. It has a few more bugs but I can't go into detail since it's just getting buggier.
            "
"209","Have had nothing but issues with this phone and nothing works as it should, the physical condition of this phone is good but the software and hardware inside are far from good and regrettable I had originally thought it was due to where I was staying for my job and by the time I got back hm it was too late for me to request a refund
            "
"210","In storage for 6 months ... 2 months into use, the screen goes wacky.
            "
"211","Me encanta  es muy buen aparato boy a pedir dos mas para regalarlos
            "
"212","I LOOOOVE MY PHONE !!!! Came overnight before 12pm.
            "
"213","excellent!
            "
"214","Do NOT buy. Have had this phone less than a year and battery stinks. Just had 51% and it turned off and when I turned it back on said 0% and died. TERRIBLE.
            "
"215","Arrived looking almost new.  No issues after a month.
            "
"216","I've had this phone for about a month and everything has been running smoothly. I was suspicious about buying a phone on here and if it would work but setting it up was a breeze.
            "
"217","No problems so far! Looked perfect at the beginning, but at a closer look I could see some little scratches, so I wouldn't categorize it as a 'brand new product'.
            "
"218","Good
            "
"219","Bought this refurbished phone and was extremely disappointed. The phone had very visible scratches on the sides, the screen was literally loose on the top corners where it looked like it was gonna lift up, and front camera was extremely unclear due to fine fibers getting in the screen.
            "
"220","Love this phone it's easy to use and battery last a long time for me.
            "
"221","No issue works fine and I use it with Verison
            "
"222","Like the hr sensor next to the camera.
            "
"223","3rd one ive owned. A timeless phone in my opinion and you cant get much better at this ptice point.
            "
"224","I enjoy it
            "
"225","Love the phone except for the battery life.
            "
"226","Phone keeps over heating did it a couple times when I first got it but recently it's been happening more and more frequently. The phone gets so hot I have to shut it down.  Plus the battery dies super quick and I mostly just play around on Facebook or listen to music.
            "
"227","Excellent product! Phone arrived , with cable sooner than expected, looks brand new, no scratches,blemishes. I have had ZERO issues with this phone. Flawless. Great product !
            "
"228","Quit working the day after the return date. Incredibly disappointing and wrong.
            "
"229","really like this phone good sound and camera
            "
"230","working great so far
            "
"231","Good phone, but just remeber that the back is not meant to be removed. You can't add an extra SIM card for more memory, only the side port for a service activation card.
            "
"232","This phone keeps pushing the screen button over n over by its self while I'm trying to use it. Its very annoying  and I don't thing since I paid that much for the phone that its ok for it to already be messing up the day I received it
            "
"233","The charger plug has some issues, but I'm  wireless charging so its fine. Other than that Id think this thing was brand new. Very happy.
            "
"234","Great phone for a great price.  Can't even tell that it was used, so worth it to avoid the high price tag for new phones. I highly suggest going this route instead of buying a brand new phone up front. Saves a lot of money and still get a great phone.
            "
"235","<U+0001F601>
            "
"236","I was disappointed that this phone did not have a sd card slot , but that is on me. Great sound quality, Wi-Fi calling and cordless charging. I am quite happy with it.
            "
"237","Didn¡¯t say in the description that this is Verizon only & the phones locked. Verizon sucks & now I¡¯m paying for my current plan & have to go back to Verizon. <U+0001F644> not a fan of this at all. Battery sucks too.
            "
"238","Phone should not have passed the refurbishing process. It was overheating right out of the box. It has been constantly turning itself off and only soft resets are able to turn it back on.
            "
"239","Works wonderfully
            "
"240","great phone worked fine
            "
"241","As soon as I put my SIM card in, the phone went black. Shut down and powered up back to back continuously. Had to shut it down with the volume key. Very disappointing to wait for shipping all for a bad phone.
            "
"242","Excellent product exactly as described
            "
"243","Works great
            "
"244","The phone worked for one day. The battery malfunctioned and thought it was overheating and would not charge but the return process was super smooth. I am getting my replacement today so we will see how that phone works out.UPDATE: The replacement phone works like it's brand new without a scratch on it. If I had gotten this phone the first time. I'd give them five stars. They get four because the return, refund and replacement process was super simple and easy and more importantly it was fast.
            "
"245","Shipped fast. Phone works great! No issues setting it up.
            "
"246","too bad! I only use it 2 days and it no longer turns on, it is supposed that they are checked before being sold, it is better to pay a little more, this phone is garbage
            "
"247","Everything works and acts like a new phone. The only issue is the battery seems old.  It will just barely hold a charge for 8 hours of off-on regular use.
            "
"248","Bought this phone for my sister, she loves it. Everything worked perfectly
            "
"249","As expected ... Thank You
            "
"250","I am only giving a one star because you do not have the option to select none. This phone was awful. It screen jumped so badly that the only thing I could do was accept incoming calls.
            "
"251","I have had this phone for 6 months now. It only turns on when plugged in, and the battery meter doesn't work perfectly, but it does what I need it to do.
            "
"252","Purchased item in November. Less than 6 months later the speaker is not working.
            "
"253","Phone appears new and in great condition. However within a week of purchasing the phone the charger it comes with doesnt not work while the phone is on. Instead of battery percentage going up it goes down. The phone only charges when it off!!
            "
"254","The phone seems as good as new.  Great buy for the price!
            "
"255","Fantastic phone! It works beautifuly and was delivered right on schedual
            "
"256","I was so excited to get a replacement phone at such a low cost. Please don't buy this PHONE! The battery barely made it to lunch with hardly any use. I immediately felt like I wasted my money. I could have stuck with my old phone for the performance of this ""refurbished"" phone. Totally not worth the money!!!!
            "
"257","It¡¯s a good phone got it for my lil brother!
            "
"258","Item broke after 2 days screen went out and does not work.
            "
"259","My son was so disappointed.  The phone wouldn¡¯t charge.  My husband was upset that they would sell a defective product and charge us for return shipping.
            "
"260","Phone won't stay connected to our Wi-Fi, so is causing overages on our data plan.  Started doing this 3 months after we got it, so it's after the return window. Of course.  Not worth the risk...just get a new phone.
            "
"261","Love the phone, but the faceplate glass has an obvious bubble &/or imperfections in seal... contemplating return. I realize it is a refurbished phone, but something I've heard that repair places say is fixable? I will ask cs to see what they want to do?
            "
"262","It's been a few months since I purchased... I'm very happy with it!
            "
"263","Works great
            "
"264","This is a great phone for the price.
            "
"265","The phone is great look brand new..but I got the wrong phone. I wanted it for metro pcs.Thank you. How can I exchange it for a phone that can work on metro pcs.
            "
"266","I had some questions about the product and Regan the Customer Service Representative was AWESOME.Great Product.Great Price.Great Customer Service
            "
"267","cracked the screen of my S$ and for less than an extra 100 to fix it I got a new 64K S6.Works great!
            "
"268","worked
            "
"269","It was a great choice of purchase. The phone works really well and I had it up and working with Verizon in less than 4 hours after getting it. It is in pristine shape for being refurbished. I am overall very happy with this purchase.
            "
"270","Total crap. They sell defects!  Will jot take video for longer than 3 seconds. Glitches every 3 seconds of use. Total crap. Seller should be banned!!
            "
"271","Stopped working after 2 weeks when I plugged it in before bed one night. Wouldn't even turn on the next day. They won't even respond to me to either exchange or get a refund either.
            "
"272","Should have returned it when I had the chance.  A soft reboot became necessary more often when screen freezing. 1st time out of 3 I've had trouble with a refurbished phone.
            "
"273","Received this phone in excellent condition although it  was refurbished overall great product for the price
            "
"274","I received the phone exactly when promised.  It came in great condition and works fabulously.  Thank you so much!!
            "
"275","Phone works great!
            "
"276","The charge port does not accept a charging cable because it is bent up the battery life is almost zero but then i did buy a cheap reused phone so partly my fault.
            "
"277","looks like new, i have the impression that the battery drains faster then my older Galaxy S6, not really a complain
            "
"278","The battery dies frequently And the charger port seems to be messed up. The charger always falls out of the charger port. I wish I had known about these issues before purchasing the phone
            "
"279","Good product
            "
"280","I feel like I'm on top of the world! It came as advertised and it was a day early!
            "
"281","Ordered phone and did not recognize my SIM. had to return the accessories at my own cost. That really upset me.
            "
"282","Oh perfect a Verizon phone that doesn't work on the Verizon network. Phone would not receive any signal bars. Half a day waisted trying to save a few bucks.
            "
"283","Phone was in great condition. Like new. Battery life not as good as I expected.
            "
"284","the phone bricked after a couple days but it was easy to get a speedy and full refund
            "
"285","I love it, but I wish the battery lasted a bit longer.
            "
"286","My 14 yr old really likes it. He is a typical 14 yr old so I didn't want to spend a ton. He is pleased in the phones ability to surf instagram and you tube and occasionally text his old man back
            "
"287","Had problems with a previous refurbished one but so far this one is perfect. Really happy :)
            "
"288","Phone does get hot pretty fast. I've had it now for about 5 months and haven't had any issues other than it getting hot. ( T-mobile pre-paid plan)
            "
"289","Phone works great, looks barely used. Would have gave 5 starts but One thing is that it did not come with the nano sim card holder that goes into the side. So I had to order a sim card holder so that I can use the phone for calling and mobil data.
            "
"290","The product had electronic defaults as the light was malfunctioning along with the charging port been defective as such the product was returned
            "
"291","When the camera is open it makes a weird static type of noise and the picture shakes even though the device is stationary. Amazon tech support was great and tried to help to ensure it wasn't software but it didn't resolve the issue, so it's just a defective device. This happened as soon as the camera app was opened right out of the box, so I think EMB-Phones doesn't know that ¡°A Certified Refurbished product has been tested and certified to work and look like new"" since they clearly didn't even open the camera. Would not recommend the seller. Also the device got SUPER hot, which I understand there's a lot going on inside while it's setting up but it was almost too hot to hold. Makes me think it wouldn't be able to handle video playback or other high demand functions without overheating.
            "
"292","I bought this phone two months ago, it's already dead, no matter how long I charge, the screen is completely black.  Will never buy a second handed phone ever again !
            "
"293","This phone is so amazing! Your paying an amazing price and your getting a Wonderful product! The camera is amazing and I only found a little scratch where you charge it but that is about it. I 100% recommend this phone
            "
"294","Worked ok but now it won't charge for me and they won't exchange phone
            "
"295","Phone looks new no scratches.  Works great.
            "
"296","Works Great. Came from factory so all cords and plugs were new. Would buy again!!!
            "
"297","Beautiful screen, great price, does what I want it to do.
            "
"298","It socks the phone keeps overheating and the battery drains quickly.
            "
"299","I received this phone a month ago yesterday the screen got back out of the blue.I try to return it today I couldn¡¯t.It is not fair.
            "
"300","Did not work. I returned it. When I tried to insert the sim card, the space where it goes doesn't contains the proper equipment to hold the sim card, it's broken inside.
            "
"301","Biggest drawback to this phone was the retentless advertising that appeared when using almost all apps. The battery also seemed to wear out quickly. Otherwise good phone for the price.
            "
"302","This phone was refurbished horribly. After just a week or so of using it, it began to automatically hard restart or freeze, requiring a hard reset. It started slow, just once or twice a day, and soon it began to do that every time I used the phone. I tried to have it repaired, but it would cost more money than I was willing to pay. Unfortunately, my return deadline passed and so now I have a hunk of useless metal. I bought a refurbished S7 from another source and I've had 0 problems with it.
            "
"303","Great phone, and work perfectly!
            "
"304","Good phone... Battery in good shape (lasts about 20 hours between charges)... Works as expected. No complaints
            "
"305","Great price and is working great!
            "
"306","I had the phone for less than 20 days before it started freezing and not responding to any restart or reset attempts.
            "
"307","Nice
            "
"308","Terrible phone. Screen keeps switching by itself, watsapp do not work. will return. very disappointing.
            "
"309","Perfect Condition, Battery life is good.  Good value
            "
"310","I love the phone but the battery at fully charge only last me a few hours and the diagnostic of the battery through the Samsung app came up Poor.
            "
"311","The phone despite being refurbished had issues. Had to send back and just buy brand new from store.
            "
"312","Shipped quickly and has been working great.
            "
"313","Good
            "
"314","THE BATTERY LIFE ON THIS PHONE IS NO GOOD AT ALL. I'M MAD I WAS IN A RUSH TO GET A PHONE AND ENDED UP WITH THIS ONE. IT WAS NOT WORTH MY MONEY AT ALL.
            "
"315","I've only had this phone for about three months and the battery is already shot.
            "
"316","Thank you
            "
"317","Delivered in excellent condition. No problems what so ever.
            "
"318","I bought this phone and it stopped working after two months. The phone would also overheat and turn off randomly.
            "
"319","I bought one in April 2017 but I dropped it to the snow and the screen became black. It should not be so sensitive
            "
"320","I received this phone with broken camera. I am very disappointed. I will not recommend it.
            "
"321","6 months after buying this phone it pooped...started acting weird..could not turn on without being plugged it,then the next day fine.. sad
            "
"322","Great low cost solution for a nice phone.  Looks and performs like new.  Saved a lot of money on 2 of them.  Shipping was fast, arrived before expected.
            "
"323","My phone got really hot with in 1 minute of me turning it on
            "
"324","Spectacular phone!  It holds a charge, stays cool (my previous phone did neither very well) and takes great pictures.
            "
"325","Terrible battery life.  I hate this phone.  My Galaxy S5 was 10X better.  I cannot make it through a full day if I use the phone for anything.
            "
"326","Price was good
            "
"327","Upgraded my son's phones. He loves the phone and all the new features. Happy 12 year old.
            "
"328","Poor poor poor battery life. 5 hours at max. Your charging port is gonna go bad after a year. I've ownedone mine for almost 2 years now.
            "
"329","It lasted 6 months before the LED screen would bounce around while typing.  Verizon looked at it and stated it was a hardware issue.
            "
"330","Best phone I have ever had. Works great.
            "
"331","Great phone for a fair price!Everything works as it shouldI would recommend to family and friendsUse it every day outdoors no problems
            "
"332","Great phone thanks........perfect working condition.
            "
"333","Phone looks and works great.  Thank you for a great deal.
            "
"334","Looked like brand new. Worked great. Damaged by literally drops of water on the phone now it doesnt work.
            "
"335","I have not had any issues with my S6. Very pleased with it! A++
            "
"336","Works like it should.
            "
"337","Battery life is terrible at best
            "
"338","Perfect just  what I needed at the right price.
            "
"339","Decent overall for price. But shut off randomly alot.
            "
"340","Battery drains pretty fast, phone lags, and the operating system isnt even what was listed. Not happy with the phone.
            "
"341","Arrived on time and I really love the phone. Only flaw I can see is that there was never a key given to open the SIM card slot
            "
"342","I purchased a Samsung s6 for my son's birthday.He really likes his new phone. Everything works just fine on the phone.Got the phone a day early than what was expected on delivery.Great deal , glad I found them .
            "
"343","There are a few glitches with the phone but it makes phone calls, it texts and no problems with taking pictures. This was better than buying a new phone, at-least at this point. I have had my new refurbished phone for a month or two.
            "
"344","Stopped working after 4 months
            "
"345","The battery life is the worst I have ever seen I charged the phone to full off and have not used it yet and left it on my bed with no WiFi or anything and the phone was dead when I got home from work.
            "
"346","Didn't work, would not recognize sim or stay powered on.  They told be to go to a repair shop
            "
"347","My phone did not come unlocked. I paid for AT&T and the phone only works for Verizon. Just wasted money.
            "
"348","The phone looks perfectly, but when I tried to insert the sim card, the space where it goes doesn't contains the proper equipment to hold the sim card, it's broken inside. I have pictures! So the phone doesn't work because if you insert the sim card it just dances inside...
            "
"349","I got my phone a few days ago and it works like a dream! But the only thing was the charger was acting funny so I had to use another.
            "
"350","Thank you
            "
"351","The phone will not hold a charge.  I replaced the battery and still had the same problem.  I will be returning it.
            "
"352","Compre el cell porque en la publicacion dice que funciona con diferentes compania de telefino pero con metro pcs no es muy efectivo por ser de virizon el cell
            "
"353","Listed that it should look like new, however the charging port looked terrible. Was dirty had had a bunch of big scratches around that area.
            "
"354","Very pleased
            "
"355","Will not connect to any data network with Verizon, phone is great by itself, but I will be calling the customer service number that the phone came with so that hopefully we can fix the issue..
            "
"356","Phone was in perfect condition but battery wouldnt hold a charge long and had to be replaced just after 2 months.
            "
"357","Great product came just as it said it would, if I ever need a new phone I'll buy it from these guys, by the way this is my legit opinion I'm not just saying this.
            "
"358","Features are all excellent, but battery life is much worse than I am used to.
            "
"359","It was bought for my son and he is happy with it
            "
"360","Samsung phone was in excellent condition and performs perfectly. Excellent purchase.
            "
"361","Great phone great price
            "
"362","My son had it for 2 weeks and suddenly the screen has streaks of green and then purple going thru the phone.
            "
"363","Excelente
            "
"364","Battery life us awful. Assumed a 'good' condition refurbished would have held charge for longer than a few hours but thus does not appear to be the case.
            "
"365","Great price  and value very happy
            "
"366","Love it!
            "
"367","90 day warranty... Thanks a lot! The phone quit working about 5 months after purchase. So I guess you get what you pay for.Thanks for the $200 paperweight
            "
"368","I Got the phone and it soon started to randomly go black and shut down. I've returned the item a month ago and still haven't heard back. Nor have I got a refund.
            "
"369","Great purchase, very fast delivery, would recommend.
            "
"370","OK
            "
"371","So far, so good! I did have to get a new SIM card, only because the one from my old phone didn't fit. But that's certainly not the sellers fault. Also, very fast shipping!
            "
"372","Phone was better than my galaxy 5
            "
"373","Came smashed up
            "
"374","I must say that it arrived on time, I am very satisfied with the packaging and the delivery, it really looks in good condition, looks like new, but it has two serious problems, first after being using the camera for more than 1 minute, the phone reboots and the phone camera makes a weird sound using many apps and second it turns off when reaching around 20% battery, I thought it was a Software problem and I did a factory reset twice but the problem persists even after 4 factory resets.
            "
"375","Good product!
            "
"376","Great value for a refurbished smart phone. No scratches and functions as new.
            "
