"","x"
"11","I previously have S9 for work and iPhone XS Max for personal, here are my thoughts:The Good:- Speakers... wow... I am speechless- OneUI is wow, Samsung finally got the UI right, very user friendly and fluid- Feels very comfortable to hold, much better than S9 and iPhone- Screen is gorgeous, but a little too bright at night- Bixby Routine eliminated my need for Tasker- Headphone jack, although I didn't use it once, but it is nice to know it is there- Samsung Health is very very useful- All hail 8GB of RAM, all of my apps opened within the hour are still there!- Battery life is good (not excellent, pretty on-par with iPhone XS Max)The meh:- Power button is a bit too high, need to adjust grip when turning off screen- Back camera is good, but pretty much feels the same as S9 and iPhone (disclaimer: I am a dummy photo taker, pretty much point-and-shoot)- Samsung still nags too much on ""Here is what you can do on..."" and ""High volume can damage your hearing...""- Micro stutter during animation, rare, but still noticeable during app switch- Fingerprint unlock to home is slow, and it is much lower than I expected, but once I got the position, it unlocks 9/10 times (move your fingers around during scanning, it helps a lot), and I didn't even remove the original screen protector- Microphone is sub-par... especially during call, other side can hear their own echo, not the same experience on S9 or iPhoneThe wtf were they thinking:- Proximity sensor, it is waking up in my pocket ALL THE DAMN TIME (turned off double tap to wake helps, turning off life to wake and AOD solved the issue, but I need to features)- Still very convoluted to pick pictures from Google Photo if I need to send pictures or upload pictures from other apps- Samsung Smart Switch is still a very miss, transferring to S9 to S10 Plus made the phone very buggy, have to start fresh and redo every thing- Samsung Keyboard... sigh... back to Gboard- Front camera... I want to see my face without looking like a 12 year-old damn it- Curved screen, I felt like it is even worse than the S9 (maybe it is the size), a case helped with accidental touches, but my god it is still happening- OneUI is awesome, but the way they treat folders... If I created a folder in the app drawer and put apps there, then put that same folder to home screen, why are they not synced? Why I must add the same app to folder twice? (I don't want to use another launcher, I used Nova Launcher for 6 years and just want to use the built-in launcher for the sake of simplicity)- On the few occasions that I cannot use the fingerprint scanner (enough to be a nuisance), I really miss the iris scanner... this was the #1 reason why I did not pick iPhone to be the work phone before- Samsung Cloud... still cannot see SD Card... just give up already Samsung...- Motion Photo is still not compatible with Google Photo (this has more to do with Google than Samsung, but Samsung uses their own format to save Motion Photo, so I am blaming both)- Power Optimization still sucks (again, Android's problem, not Samsung's fault)So in summary, I feel like each functionality of the phone works very well, but the unify experience is still somewhat lacking
            "
"12","This is a beautiful phone. I've had 4 of the previous Galaxy phones, so I'm very well accumulated with Android and Samsung. Everyone knows how awesome android is and how superior Samsung screens are, they continue to get better each time. Unfortunately the screen is too sensitive to use without a case on it.  You simply can't n't hold the phone without your hands or fingers touching the edges and working against what you are actually trying to press. Once my otter box phone case arrive a day later, the problem was solved! Make sure you get all the full updates before adding your fingerprint.  Mine didn't work at all until the update. For whatever reason.Best phone yet!
            "
"13","The thumbprint reader is located on the edge of the phone. Top right edge and it means that your phone cases need to have a large cut out right by the edge and every case made for this phone will be very weak right there. I guess it's only a design flaw in the sense that phone cases will be hard to make well for this phone. I personally never use the thumbprint reader. I wish this phone had it on the back or just didn't have one at all. Looking for a case that actually just covers this spot since I never use it and would prefer a good case.Ohterwise, amazing phone. Great camera. Very fast. Still has the headphone jack! It's smaller than anything else this nice. Got a lot of things going for this phone!
            "
"14","No me envio un telefono, lo que me envio fue
            "
"15","like italmost the same size as my former Galaxy s7edge
            "
"16","I ordered two of these, one for myself, one for my husband.  Mine is working ok.  My husband's right out of the box started overheating, feeling like it was burning up.  After trying everything suggested, including contacting Amazon for assistance, I requested a refund ticket. Since this was a 3rd party seller, I had to order a new one.  Well, the second phone came the day after I ordered it.  It is burning up too.  I am sending it back now. Looking at the internet, I wish I had read about all of the overheating problems with this phone!!!!
            "
"17","after using this phone for 3 weeks and coming from an iPhone SE, it is hard to see it as an upgrade in anything other than a larger display.What I like is the display quite a bit easier to read compared to the 4"" screen that the iPhone has.The wide angle camera option on the rear.Dex support to mirror to a television via hdmi adaptor cable.The speaker on it is great for listening to music.No limit on size of download for podcasts.And the size and weight is reasonable for a larger phone.What I don't like is the reduced bezel on the display essentially requires some kind of case to increase the distance between hand and phone, accidental touches are common without a case.The fingerprint sensor is too high/ difficult to reach and the volume buttons are directly across on the other side, causing unwanted screen shots frequently.It is difficult to one hand the phone due to its size and the lack of useful gestures that iPhones have.The app store is lacking quality apps.The camera doesn't have an option of a fake long exposure like the iPhone has. The option to adjust the settings in pro mode are nice but that requires ND filters to have the same effect during the day. (I was able to find one app that is able to do a similar effect but requires a tripod to use effectively, and clogs up the gallery.)The main rear camera doesn't seem to be very sharp and lacks any color depth, anything but very minor adjustments ruins the photo.The wide angle camera is not able to be used in pro mode. It also isn't very sharp.The display is alway tuning on for no reason.Samsung apps require permissions to access everything or they won't update.Face recognition for keeping the display on while reading doesn't work.The headphone buttons don't work properly. To start playing a song from the remote on the ear buds requires three button presses, doesn't matter which app or headphone, I've tried a couple.Antenna strength isn't as good as my old phone.If apple wasn't actively trying to screw over their customers, I'd probably be happier with an iPhone 8.
            "
"18","The phone itself doesn't seem to have any problems. My only main issue was how the phone's initial packaging seems to have been tampered with. There was only one piece of tape holding my phone box. No plastic wrap. (See picture)
            "
"19","It doesn't have dual sim support like my previous s9. Don't know what I'm going to do now.
            "
"20","Samsung hasn't made many improvements to the device since the S8. Sad but true. Yea the camera is a little better, but many of the same quirks and bugs remain. The automatic unlock based on location is still flakey, the screen based fingerprint sensor is hit or miss at best, and my biggest complaint - they've done away with the notification LED. Now you have to unlock your phone to see if you have any missed calls or txt msgs! What the F were you thinking on that one Samsung? But hey, at least we still have that useful headphone jack! Not impressed. 3 stars at best. Truth be told, the Google Pixel is a better device. No Samsung bloatware, no useless gimmicks like a curved screen edge which you can't use when the phone is in a case and serves no practical purpose anyway, etc...
            "
"21","This review is for S10 model. My previous phone was a sam S5, so that is my comparison. I am a practical person, not much gaming or social media. My phone is my workhorse. Here is my good and bad...Fingerprint - works 50% and you need to press hard. The pattern unlock is faster.Curved glass - The curved glass edge of S10 was always causing me to false touch the screen. Looks nice though.Telephoto - I looked back at my last 2 years of photos, very few portrait shots, so I will not take advantage of telephoto.Glass back plate - seems useless to me. You need to cover it for protection, so what is the point? Just adds more weight. Same for colors- covered by case.Screen - beautiful. And it goes right to the  edge of device (no borders). A little longer than I am used to... the side keys are high up on the device... so stretch your fingers.WiFi calling - not supported on this unlocked model. You need a carrier branded version in usa.Performance. Its fast! The North America version contains the newest qualcomm 855 cpu.Camera - not used enough yet to comment.I think I am leaning to swap this out for the s10e version.
            "
"22","Hi this is my first Samsung phone. I love it. Only had it for 2 days. My old phone was a Nexus 4. I ordered the 128 GB version S10+. I was pleasantly surprised when I opened the package, there was an extra 128 GB Micro SD card. Sweet. Also came with a MintMobile sim chip with 3 months free service. Made my guilt over a 1000 dollar purchase into happy. I had heard and read that the fingerprint ID on Samsung S10+ was hard to use.I used my right thumb, and I have not had a single problem. Very happy with my purchase.
            "
"23","This phone SUCKS up all of your free time with its numerous technological features, the WORST part about it is that you'll NEVER have enough time to explore all of them.
            "
"24","Download the Shop Samsung App and head over to ""My Inbox"". It should be the first thing to show up! I do not know how long you have to claim it but there you go!
            "
"25","I purchased what I THOUGHT would be a 128gb s10+ FACTORY UNLOCKED.  Instead I received an already opened unsealed package with a Verizon network version of the s10+.  BUYER BEWARE!  I think many of the reviews for this product are FAKE!
            "
"26","This is fake. On the description it says that it is g970u which is U S version. But it is not. It is freaking international version. Even on the box it says g970u. But if you check on device it is g970f which is not US version. I CANNOT use even samsung pay with it. I NEED TO RETURN...
            "
"27","Great phone over all. Camera is awesome, especially the wide angle. Samsung edits their pictures so they look smoother. I do suggest trying out the Google camera APK; the pictures look so much better than any Apple pictures. The battery lasts all day. Recently went on a road trip and the phone lasted all day if you're going to text, play games, watch movies, etc. If I have plans for the night I charge it for 30 minutes and that lasts me the night. The speaker hass alright base, and its loud and clear. The microphone works very well on speaker phone, the other caller can't tell the difference if I'm in a quiet place. If you're looking to upgrade, this is a solid phone. I had the Note 4 before, and waited for a device that wouldn't disappoint.
            "
"28","This phone was ordered via Amazon. At first I was skeptical as to if I will actually receive an official device. Immediately on receipt I validated the device was the real deal via checks recommended on CNET. The device worked great and I was able to easily transfer data from my old Samsung S5 to this new device via the use of a USB cable. The battery life is great. I got 4 days of of one full charge. The features are impeccable. Great choice for an upgrade if you wish to enhance your samsung experience!
            "
"29","Works pretty well, it's not supposed to be the international vs so I'm not sure why it was automatically in Spanish and I had to switch a few things to have it revert to USA English. A few of the app folders it created were also in Spanish but were simple to rename .The finger print scanner is a little finicky but I think it will just take some getting used to and the face scanner is annoying since it's 50/50 if I'm wearing glasses or contacts but I was pleasantly surprised that it still works.The camera and resolution is absolutely fantastic. And I love the one handed option in Samsung products since I hate how big phones have gotten making it hard for me to use with my small girl hands .
            "
"30","Samsung stated that if the phone was purchased by a certain date, the phone came with a set of wireless earbuds.  While I like the phone, I am upset that the advertised ""free"" item was ignored.  The moral of the story - Amazon may not fulfill what was advertized; or, if you pay for something with points, they take their time and accept the order until later.  Had I known this, I would not have rushed to buy it.  Had I not have had this problem, I would have given it another star.  By the way, it does not come with an S stylus like previous phones and tablets.
            "
"31","My previous phone (Nexus 6P) developed the reboot loop problem.  I needed a new phone quickly, and Amazon delivered it the next day.After letting the battery charge a bit, all I needed to do was swap the sim card.  During initial setup, the phone found my backups -- it felt like Christmas morning as a kid.  There's a fair amount of difference between the 2 phones.  I really like that the power button is not on the same side as the volume buttons.  I'm still getting used to the home screen.  Right now it seems awkward, but I think that's just a matter of it being different.Although I don't have enough time with it to rate the battery life, it seems pretty good.  I haven't tried the face recognition -- I'm too ugly.  :-)  I'll give that a shot later.The phone is a bit smaller than my old one, but the screen fills more of the phone, so is pretty close to the same usable area.I'd recommend this phone...  I just wish it wasn't so expensive.
            "
"32","I pre-ordered the phone because amazon told me by chat that they were participing in the galaxy buds promotions of samsung. FAKE, I did not get anything, and now amazon and samsung are saying that is each other fault. They don't want to anything about it.
            "
"33","What I liked about this phone?Lightweight, fast ( but i think it is all new phones, not just this one), loading pages, opening apps, I love the efficiency of it. The screen is amazing and so colorful, cameras takes really goof pictures,also selfies, I am not a big selfie person but even front camera impressed me. I have had Samsung phone before and it served me for good 2,5 years. After trying out different phones like Motorola, ZTE...I happily went back to old good Samsung and planning on sticking to it for a while)What I did not like in it?Slippery, get a case along with a phone like I did, cause you may drop it and you don't want that at all!For some strange reason, on my Instagram pictures are not in the real size and looks like they a bit zoomed in. But it is not a big of a deal at all, just thought I would share this. Also battery life seems too short, but I just think because I am playing with it too much, since it is new.Overall I like this phone, got it in Prism White! Super cute!
            "
"34","I love this phone I was able to use either a pin number or fingerprint to open. I haven't activated face recognition. Everything loads so fast, nice voice recognition for hands free. I have dropped the phone twice both times onto tile floor without any damage. The charge share feature is great. Battery life is awesome and charging the battery is faster then any cellphone I have ever owned. The slim style is great in the hand or a pocket, fits in a front shirt pocket without weighing it down. Hard to believe that a cellphone can produce the great quality of pictures that it does. Lots of storage space with plenty of gb for files and apps. I would definitely recommend the S10 phone.
            "
"35","I just switched to the S10 from my s5e. This phone is amazing! I think it is fantastic the cameras are spectacular and clear! I'm not a gadget expert, but the phone is perfect for me! It does come with a thin glass screen protector already placed in the phone. The volume button does not switch to mute, that is in the setting which is pretty annoying.The finger print scanner is very finicky. You need to place your finger just right for it to work.Works with Strait Talk sim cards.
            "
"36","So my Samsung S7 took a dive and I needed to replace it ASAP.  I bought this ""refreshed"" S10 hoping that it wouldn't be full of scratches that I'd need to cover and it wasn't.  I know the features and am more than pleased with the upgraded device and I got it for a stellar price point.  No VZW payment plans for me!
            "
"37","It's a 256gb version. They didn't clearly state that it's a single sim phone. The model is sm g970u1 which is snapdragon 855 8gb ram. I bought it with confidence that it's a hybrid slot with the second slot being worked with either sim or memory cardOther than that its fabulous. Super fast. Finger print on side is a blessing in reality. Onscreen finger print is attractive but not useful in real life. Side fingerprint has gestures too.The packaging was sealed and its was original. Had all accessories inside it. All unlocked us versions are single sim. Pls confirm with Amazon or seller before buying. Don't make the mistake I did
            "
"38","This is the second review I've made. Along with receiving my phone a week after it was expected, it came straight from the box with chinks in the screen and the screen is so fragile that almost every day a new dent shows up in the screen from just sitting in my pocket (with a case) I don't move around too much. I have an office job so there's no reason for the screen to dent so much
            "
"39","i just got this galaxy s10 plus today but the phone doesn let make video call like all other phone. u have to download google duo o any other video app. but the phone doesn show the camera icon while u are in a call. i went to tmobile wich is my carrier and the galaxy s10 they have it shows the option when u callin somebody to change from regular call to video call.
            "
"40","This product arrived promptly and exactly as advertised.  Factory unlocked?  Check.  12Gb RAM?  CHECK. 1Tb of storage?  Check.  I use this phone with Straight Talk and it was simply a matter of popping in the SIM and having Straight Talk activate it on their Network.  No hassles at all.  Both the seller and this product get my recommendation.
            "
"41","Cambie de Iphone a Samsung y me encanta mi nuevo dispositivo. Lo compre para usarlo en Mexico con At&T y no tuve ningun problema. Excelente camara, y las aplicaciones de Google me ayudaron a hacer la migracion facilmente ,
            "
"42","This samsungs with exynos9820 chips
            "
"43","This phone was given to me for my birthday it's absolutely beautiful, unlocked by samsung the phone is currently being used in my country Honduras it works great for now...
            "
"44","The best phone. Amazing screen. Super fast processor.games run very smooth. No delays as compared to Samsung chip. Glad I imported via amazon.
            "
"45","This phone is being advertised as the SM-G973U (Snapdragon) however i received the  Exynos version SM-G973F.
            "
"46","el telefono funciona de maravilla me agrada mucho la pantalla para mi el reconocimiento de huella esta super bien una vez que te acostumbras a su ubicacion las camaras excelentes
            "
"47","Instalen la GCAM, muchisimo mejor para fotos de personas/retratos.
            "
"48","The phone was great at first. Then it started getting really hot and losing battery really fast. Eventually, it turned off and no matter what I did, I couldn't get it to charge back up. I was sent a replacement but unfortunately, the replacement was a blocked phone and I couldn't even use it. Never buying expensive tech from Amazon in the future.
            "
"49","This S10 phone is truly impressive. The face recognition works well. The processor is remarkably fast. Can run more than 1 app at a time without causing any lagging. The camera is next level incredible.
            "
"50","Contact names don't show when they call me, I literally can't see who is calling me, I contacted Samsung and they said they are working on it and it has been a month since it Came out and it haven't.
            "
"51","I had iPhone for 10 years , this¡¯s my first Samsung galaxy s 10 + this¡¯s the best phone on the market now
            "
"52","Great screen, great performance and great camera. Fingerprint scanner is not perfect but it works fine once you get used to it. The hole punch in the screen is perfect, not intrusive at all and looks really cool.
            "
"53","It's great phone but unfortunately I had to return it because AT&T locked it in their service and I couldn't switch to another carrier.
            "
"54","Disliked the interfaceDisliked the overall setupNot good interface as iPhone XS
            "
"55","Upgrading after five years results in a whole new experience with all of the old complaints GONE. Better camera, brighter more functional interface and features that will be discovered with time and use.
            "
"56","I am in love with my new cellphone,it's easy to operate.everything is so clear.
            "
"57","Looks like iPhoneX. The glass and metal texture make it a really high quality product.
            "
"58","Am enjoying every bit of my new phone
            "
"59","is perfect phone is more then what i expect
            "
"60","Samsung phones are a given for me
            "
"61","Loved the phone, but the product listing was for U S version, but two things make believe that i got an international one instead. It was a third-party purchase from electrocell.
            "
"62","Just buy s9 plus... they are almost the same ...
            "
"63","Una nave. Telefono precioso, rapido y muy comodo a la mano. Lastima que no haya venido con los ear buds
            "
